ID_REF	VALUE	ABS_CALL	Detection p-value
245016_at	2764.2	P	0.000244
261585_at	19.2	A	0.366211
261568_at	33.5	A	0.432373
261584_at	237.8	P	0.037598
261579_at	2723.3	P	0.000732
261569_at	125.1	P	0.000732
261576_at	186.2	P	0.008057
261577_at	1931.5	P	0.000244
261583_at	5430.8	P	0.000244
261578_at	7188.8	P	0.000244
261580_at	4.9	A	0.888428
261570_at	494.6	P	0.001221
261575_at	16.5	A	0.533936
261581_at	1276.1	P	0.000732
261571_at	17.4	A	0.27417
261582_at	504.7	P	0.001221
261572_at	5047.3	P	0.000244
261573_at	78.2	A	0.111572
261574_at	84	A	0.398926
261042_at	44.6	A	0.601074
261043_at	714.7	P	0.001221
261025_at	98.3	P	0.046143
261057_at	904.1	P	0.000244
261026_at	926.7	P	0.01416
261059_at	91.8	A	0.219482
261050_at	112.2	P	0.010742
261051_at	3.9	A	0.780518
261044_at	283.6	P	0.001221
261055_at	1416.1	P	0.000732
261045_at	3.9	A	0.98584
261053_at	3228.2	P	0.000244
261054_at	345.3	P	0.001221
261027_at	128.5	P	0.037598
261056_at	347.7	P	0.000244
261058_at	102.9	A	0.171387
257490_x_at	30.7	A	0.111572
261046_at	63.7	P	0.018555
261047_at	15.8	A	0.27417
261048_at	161.1	P	0.018555
261049_at	729.1	P	0.000732
261052_at	200.6	P	0.018555
259435_at	45.7	A	0.27417
259425_at	11.6	A	0.850342
259426_at	5193.4	P	0.000244
259439_at	14.2	A	0.466064
259434_at	1739.4	P	0.000732
259436_at	530.7	P	0.000244
259438_at	435.8	P	0.000244
259432_at	3.1	A	0.72583
259427_at	34.7	A	0.19458
259437_at	488.6	P	0.000732
259440_at	2573.9	P	0.000244
259428_at	395.8	P	0.001953
259433_at	48.7	A	0.27417
259429_at	107.5	A	0.067627
259430_at	637.5	P	0.000244
259431_at	6574.2	P	0.000244
261563_at	1565.9	P	0.001221
261586_at	33.8	A	0.5
257484_at	890.8	P	0.001221
261587_at	56.3	A	0.303711
261588_at	116	A	0.095215
261589_at	88.7	A	0.334473
261590_at	18.6	A	0.592285
261560_at	606	P	0.000244
261564_at	159.1	P	0.001221
261535_at	230.9	P	0.001953
261561_at	488.8	P	0.000244
261591_at	172.4	P	0.008057
261562_at	6.9	A	0.72583
261592_at	6.7	A	0.904785
261558_at	232.7	P	0.001953
261559_at	165.6	P	0.00415
261536_at	2039.5	P	0.000244
261537_at	1572.6	P	0.000244
261534_at	1390.8	P	0.000244
261538_at	108.6	P	0.000244
261539_at	89.6	P	0.010742
261652_at	609.3	P	0.001953
261653_at	137.5	P	0.005859
261627_at	1349.3	P	0.000244
261654_at	91.3	A	0.080566
261625_at	270.7	P	0.00293
261655_at	333.2	P	0.00293
261656_at	208.7	P	0.001953
261621_at	1124	P	0.000244
261622_at	584.2	P	0.000244
261623_at	5.2	A	0.976074
261626_at	199.1	P	0.008057
261624_at	222.2	P	0.001953
264169_at	275.2	P	0.00415
264175_at	45.4	A	0.466064
264167_at	41.2	A	0.149658
264151_at	72.6	A	0.171387
264168_at	1391.4	P	0.000244
264150_at	297.1	P	0.037598
264171_at	477.2	P	0.000732
264176_at	213.8	P	0.001221
264172_at	617.1	P	0.000732
264122_at	816.1	P	0.000244
264152_at	3325.9	P	0.000244
264177_at	4563	P	0.000244
264173_at	928.1	P	0.000244
264178_at	764.7	P	0.000244
264179_at	289.6	P	0.00415
264180_at	7.1	A	0.601074
264147_at	266.2	P	0.037598
264146_at	803.7	P	0.000732
264148_at	46.7	P	0.00415
264174_s_at	54.7	A	0.171387
264149_at	45.5	P	0.046143
264170_at	376.1	P	0.000244
264123_at	1066.8	P	0.000244
264121_at	1933.8	P	0.000244
259441_at	613.2	P	0.000244
259416_at	2288.4	P	0.000244
259442_at	31.6	A	0.27417
259413_at	2.6	A	0.943848
259415_at	372.6	P	0.000244
259417_at	44.8	A	0.432373
259443_at	95.3	A	0.149658
259444_at	141.6	A	0.067627
259418_at	92.7	P	0.000244
259445_at	91.5	P	0.037598
259446_at	647.3	P	0.000244
259414_at	46.9	A	0.129639
259447_s_at	27.5	A	0.466064
260904_at	219.4	P	0.001953
260903_at	68.3	P	0.010742
260933_at	147.7	A	0.432373
260916_at	1731	P	0.000244
260911_at	1.5	A	0.981445
260913_at	4579.9	P	0.000244
260932_s_at	18.7	A	0.466064
260906_at	5.9	A	0.72583
260931_at	56.4	A	0.466064
260912_at	6329.9	P	0.000244
260907_at	10.8	A	0.5
260908_at	14.1	A	0.601074
260930_at	149.9	A	0.111572
260914_at	277.2	P	0.010742
260915_at	226	P	0.000244
260909_at	11.3	A	0.567627
260929_at	169	P	0.000244
260910_at	207.6	P	0.00293
260917_at	29.9	A	0.366211
260905_at	25.7	A	0.334473
260928_at	144.6	A	0.219482
262109_at	1032.9	P	0.000244
262108_at	49.8	A	0.095215
262107_at	215.3	P	0.001953
262117_at	10744.4	P	0.000244
262122_at	3.1	A	0.665527
262121_at	129.8	A	0.111572
262105_at	42.8	A	0.303711
262115_at	34.3	A	0.219482
262116_at	280.6	P	0.00415
262113_at	289.7	P	0.001221
262132_at	33.1	A	0.111572
262110_at	1372.8	P	0.000244
262118_at	189.6	P	0.000244
262114_at	199.6	P	0.023926
262112_at	724.4	P	0.000244
262130_at	499.9	P	0.000244
262131_at	61.4	A	0.129639
262104_at	625.5	P	0.001221
262119_s_at	4645	P	0.000244
262103_at	16.5	A	0.27417
262120_at	157.2	P	0.000732
262111_at	382.4	P	0.000732
262106_at	129.5	P	0.000732
262102_at	51.2	A	0.246094
263170_at	721.2	P	0.00415
263169_at	32.3	A	0.72583
263168_at	91.9	P	0.030273
263167_at	245.5	P	0.00415
263117_at	348.7	P	0.000244
263166_at	5.8	A	0.888428
263115_at	135.7	A	0.095215
263165_at	395.2	P	0.001953
263164_at	252.1	P	0.005859
263112_at	128	P	0.000732
263118_at	447.6	P	0.001953
263143_at	53.8	P	0.001221
263119_at	257.9	P	0.001953
263114_at	12799.3	P	0.000244
263116_s_at	1282.4	P	0.000244
263113_at	473.3	P	0.000244
263163_at	625.7	P	0.000244
264363_at	11.3	A	0.850342
264358_at	86.2	A	0.095215
264356_at	155.4	P	0.001221
264355_at	1035	P	0.001953
264365_s_at	489.5	P	0.000244
264354_s_at	59.8	P	0.005859
264366_at	455.3	P	0.000244
264353_at	171.1	P	0.000244
264352_at	114.9	P	0.023926
264368_at	431.1	P	0.000732
264362_at	285.5	P	0.000244
264361_at	101.2	A	0.080566
264360_at	1552.7	P	0.000244
264359_at	45.5	A	0.19458
264364_at	1410.5	P	0.000244
264367_at	411	P	0.000244
264357_at	332.2	P	0.00293
264351_at	409.7	P	0.000244
264828_at	615.6	P	0.001221
264827_at	6.1	A	0.665527
264843_at	1185.3	P	0.000244
264826_at	57.1	A	0.219482
264824_at	626	P	0.000244
264838_at	517.2	P	0.000244
264840_at	350.2	P	0.000732
264823_at	117.9	A	0.466064
264822_at	38.8	A	0.111572
264821_at	80	A	0.219482
264820_at	2442.7	P	0.000244
264829_at	4.7	A	0.466064
265091_s_at	68.7	A	0.171387
264819_at	95	P	0.005859
264844_at	274.9	P	0.001221
264818_at	323.7	P	0.00293
264817_at	44.2	A	0.633789
264835_at	206	P	0.000244
264816_at	70	P	0.010742
264833_at	161.2	P	0.00293
264837_at	9752.8	P	0.000244
264836_at	557.7	P	0.000244
264815_at	103.2	P	0.037598
264839_at	5931	P	0.000244
264832_at	163.9	A	0.171387
264845_at	10426.4	P	0.000244
264831_at	109.6	P	0.037598
264842_at	4.1	A	0.80542
264830_at	9.5	A	0.780518
264825_at	4.7	A	0.976074
264834_at	595.8	P	0.000244
264841_at	353.7	P	0.000732
265088_at	75.8	P	0.01416
265087_at	160.7	P	0.005859
265086_at	23.2	A	0.303711
265085_at	130.1	A	0.111572
265084_at	8.3	A	0.80542
265083_at	332.2	P	0.00293
265082_at	44.8	A	0.398926
265081_at	7.5	A	0.828613
265067_at	389.7	P	0.000244
265037_at	1581	P	0.000244
265066_at	960.8	P	0.000732
265095_at	15.6	A	0.533936
265094_at	17.1	A	0.567627
265043_at	1408.9	P	0.000244
265093_at	47	A	0.398926
265092_at	1157	P	0.000732
265038_at	66.7	P	0.046143
265045_s_at	413.3	P	0.000244
265044_at	320	P	0.001953
265090_at	92.8	P	0.00293
265040_at	359.2	P	0.005859
265065_at	36.7	A	0.19458
265099_at	54.8	P	0.023926
265039_at	82.2	P	0.023926
265098_at	116.1	A	0.067627
265097_at	266.4	P	0.005859
265096_at	69.5	A	0.080566
265042_at	1194.6	P	0.000732
257404_at	52.3	P	0.01416
265089_at	6.2	A	0.696289
265041_at	93.5	P	0.001221
265036_at	1192.8	P	0.000244
264320_at	42.8	A	0.366211
264328_at	118.5	A	0.366211
264319_at	294.9	P	0.000244
264330_at	315.2	P	0.000244
264331_at	121.3	A	0.129639
264329_at	1331.2	P	0.001953
264325_at	75.1	P	0.00415
264324_at	78.7	P	0.000244
264327_at	2779.5	P	0.000244
264323_at	2.1	A	0.932373
264322_at	783.7	P	0.000244
264321_at	177.5	P	0.00415
264318_at	41	A	0.432373
264326_at	339	P	0.000244
263656_at	230.3	P	0.000732
263664_at	599.8	P	0.000244
263660_at	429.4	P	0.000244
263667_at	10240.5	P	0.000732
263661_at	447.3	P	0.000732
263654_at	619.3	P	0.000244
263653_at	95.4	M	0.056152
263652_at	4.1	A	0.904785
263651_at	582.5	P	0.000244
263668_at	1063.2	P	0.000244
263650_at	75.3	A	0.27417
263649_at	26.9	A	0.366211
263648_at	63.6	A	0.366211
263669_at	2507.4	P	0.000244
263663_at	13010.6	P	0.000244
263678_at	1230.5	P	0.000732
263662_at	1738.5	P	0.000244
263657_at	620.7	P	0.008057
263659_at	39.2	A	0.5
263665_at	4835.2	P	0.000244
263658_at	4.1	A	0.976074
263655_at	17.2	A	0.466064
263666_at	1192.9	P	0.000732
263677_at	259.4	P	0.001953
264609_at	1552.9	P	0.000244
264601_at	74.3	A	0.246094
264605_at	255.3	P	0.000244
264612_at	44.8	A	0.171387
264614_s_at	4.1	A	0.870361
264615_at	361.2	P	0.000244
264599_at	64.9	P	0.037598
264598_at	150.9	P	0.023926
264597_at	542.1	P	0.000244
264596_at	22.8	A	0.432373
264613_at	1067.1	P	0.000244
264610_at	5.6	A	0.976074
264604_at	63.6	A	0.111572
264606_at	13.2	A	0.601074
264603_at	3.6	A	0.780518
264611_at	2316.6	P	0.000244
264607_at	3188.6	P	0.000244
264602_at	23.2	P	0.001953
264608_at	361.8	P	0.018555
264600_at	175.4	P	0.000732
264595_at	1467.9	P	0.000244
261178_at	180.5	P	0.008057
261177_at	937.2	P	0.000244
261176_at	551.7	P	0.001221
261127_at	239.2	P	0.001221
261175_at	523.6	P	0.000244
261174_at	893	P	0.000244
261129_at	3680	P	0.000244
261173_at	398.4	P	0.00415
261172_at	6	A	0.753906
261153_at	684.1	P	0.000244
261128_at	657.2	P	0.00293
261130_at	620.4	P	0.000244
261171_at	35.8	A	0.27417
261124_at	197	P	0.001953
261170_at	727.2	P	0.001953
261169_at	73.3	A	0.19458
261152_at	94.8	A	0.129639
261168_at	125.2	M	0.056152
261126_at	316.3	P	0.000732
261155_at	437.9	P	0.01416
261154_at	792.4	P	0.000244
261167_at	196.1	P	0.000244
261179_at	388	P	0.000732
261125_at	466.9	P	0.000244
265214_at	79.9	A	0.095215
265194_at	3102.4	P	0.000244
265213_at	125.3	P	0.030273
265212_at	558.9	P	0.000732
265215_at	8.2	A	0.633789
265218_at	332.5	P	0.005859
265192_at	468.2	P	0.005859
265193_at	486.7	P	0.001221
265217_s_at	326.6	P	0.005859
265216_at	10.1	A	0.665527
265191_at	240.9	P	0.008057
264569_at	45.7	A	0.19458
264584_at	1398.7	P	0.000244
264568_at	432.5	P	0.001953
264586_at	285	P	0.00293
264583_at	141.1	M	0.056152
264585_at	862.4	P	0.000244
264575_at	6699.4	P	0.000244
264587_at	591.3	P	0.000244
264579_at	500.9	P	0.008057
264581_at	461.1	P	0.01416
264582_at	357.5	P	0.001221
264567_s_at	107.6	A	0.067627
264577_at	50.1	A	0.366211
264566_at	222.7	P	0.000244
264565_at	45.8	A	0.334473
264564_at	19.3	A	0.533936
264574_at	137.4	A	0.095215
264573_at	104.8	A	0.080566
264572_at	217.5	P	0.001221
264571_at	38.2	A	0.398926
264580_at	98.9	A	0.171387
264570_at	415.3	P	0.000244
264576_at	324.7	P	0.001221
264578_at	17.3	A	0.753906
261383_at	584.5	P	0.000244
261388_at	659.5	P	0.000732
261380_at	22.7	A	0.533936
261387_at	213.3	P	0.000244
261386_at	648.1	P	0.000244
261384_at	109.2	P	0.008057
261385_at	22.8	A	0.149658
261381_at	114.2	P	0.030273
261382_at	71.5	A	0.067627
263204_at	6.2	A	0.633789
263203_at	27.6	A	0.5
263205_at	385.4	P	0.000244
263175_at	8.3	A	0.904785
263185_at	734.2	P	0.000244
263176_at	23.3	A	0.533936
263177_at	219.1	M	0.056152
263178_at	102	A	0.067627
263184_at	114.1	P	0.00415
263183_at	1250.4	P	0.000732
263182_at	144.7	P	0.000732
263233_at	2.9	A	0.99585
263199_at	150.1	P	0.018555
263200_at	227.8	P	0.030273
263201_at	33.7	A	0.171387
263180_at	408.1	P	0.000244
263202_at	157	P	0.000244
263229_s_at	13.3	A	0.601074
263230_at	62.7	P	0.037598
263231_at	2.9	A	0.953857
257451_at	249.5	A	0.129639
263232_at	8.2	A	0.466064
263179_at	210.7	P	0.000732
263181_at	850.1	P	0.000244
257452_at	72	A	0.080566
261310_at	114.4	A	0.171387
261256_at	188.8	P	0.000732
261311_at	9.6	A	0.888428
261312_at	510.4	P	0.005859
261278_at	16	A	0.5
261254_at	1003.9	P	0.000244
261252_at	162.6	P	0.00293
261253_at	520.4	P	0.000244
