ID_REF	VALUE	ABS_CALL	Detection p-value
245016_at	4367.7	P	0.000244
261585_at	64.6	A	0.366211
261568_at	44.6	A	0.466064
261584_at	221.5	A	0.149658
261579_at	2168.8	P	0.000732
261569_at	191	A	0.095215
261576_at	167.1	P	0.008057
261577_at	2701.9	P	0.000244
261583_at	5932.6	P	0.000244
261578_at	8031.8	P	0.000244
261580_at	11.2	A	0.533936
261570_at	589.4	P	0.00293
261575_at	3.7	A	0.601074
261581_at	988	P	0.000732
261571_at	60	P	0.018555
261582_at	508.3	P	0.00293
261572_at	3186.7	P	0.000244
261573_at	55.6	A	0.432373
261574_at	106.7	A	0.303711
261042_at	15.1	A	0.696289
261043_at	900.3	P	0.001953
261025_at	147.1	A	0.067627
261057_at	823.8	P	0.000244
261026_at	849.7	P	0.00415
261059_at	76.2	A	0.219482
261050_at	309	P	0.005859
261051_at	32.4	A	0.633789
261044_at	273.4	P	0.001221
261055_at	884.7	P	0.000732
261045_at	3.5	A	0.98584
261053_at	3572.9	P	0.000244
261054_at	481.3	P	0.00415
261027_at	128.6	A	0.080566
261056_at	436.7	P	0.000244
261058_at	130	A	0.171387
257490_x_at	56.5	A	0.219482
261046_at	59.9	A	0.080566
261047_at	5.2	A	0.72583
261048_at	133.3	P	0.005859
261049_at	1091.6	P	0.001221
261052_at	151.9	P	0.018555
259435_at	73.8	A	0.366211
259425_at	6.7	A	0.953857
259426_at	2685.9	P	0.000244
259439_at	4.8	A	0.665527
259434_at	1686.8	P	0.001221
259436_at	389.4	P	0.000244
259438_at	685.5	P	0.000732
259432_at	51.1	A	0.219482
259427_at	65.2	A	0.111572
259437_at	669.2	P	0.000244
259440_at	2776.4	P	0.000244
259428_at	466.4	P	0.005859
259433_at	119.3	P	0.046143
259429_at	161.8	P	0.030273
259430_at	784.6	P	0.000244
259431_at	6073.8	P	0.000244
261563_at	1328.6	P	0.00415
261586_at	67.6	A	0.366211
257484_at	872.3	P	0.00415
261587_at	100.4	A	0.219482
261588_at	69.1	A	0.067627
261589_at	140.4	A	0.095215
261590_at	32.7	A	0.567627
261560_at	453.5	P	0.000244
261564_at	193.2	P	0.018555
261535_at	191.2	P	0.008057
261561_at	572.9	P	0.000732
261591_at	255.6	P	0.00293
261562_at	30.5	A	0.533936
261592_at	8.1	A	0.904785
261558_at	398.3	P	0.001221
261559_at	128.6	P	0.018555
261536_at	2308.7	P	0.000244
261537_at	1491.6	P	0.000732
261534_at	1358.8	P	0.000244
261538_at	133.5	P	0.000732
261539_at	134.3	A	0.129639
261652_at	284.2	P	0.01416
261653_at	82.7	P	0.008057
261627_at	1244.1	P	0.000244
261654_at	113.4	P	0.023926
261625_at	198.1	P	0.00293
261655_at	416	P	0.001221
261656_at	150.3	P	0.000732
261621_at	1103.2	P	0.000244
261622_at	612.2	P	0.000244
261623_at	4.5	A	0.904785
261626_at	301.6	P	0.030273
261624_at	239	P	0.01416
264169_at	362.6	A	0.067627
264175_at	18.3	A	0.567627
264167_at	78	M	0.056152
264151_at	58.4	A	0.303711
264168_at	1119.2	P	0.000244
264150_at	485.7	P	0.010742
264171_at	521.4	P	0.001953
264176_at	151.6	P	0.01416
264172_at	960.1	P	0.000732
264122_at	617.5	P	0.000244
264152_at	2379.7	P	0.000244
264177_at	3803.1	P	0.000244
264173_at	1331.2	P	0.000244
264178_at	882	P	0.000244
264179_at	417.2	P	0.001953
