ID_REF	VALUE	ABS_CALL	Detection p-value	
263116_s_at	1011.2	P	0.000244	
263113_at	434.4	P	0.000244	
263163_at	573.7	P	0.000244	
264363_at	15.3	A	0.601074	
264358_at	93.7	A	0.149658	
264356_at	176.3	P	0.000244	
264355_at	1098.4	P	0.001953	
264365_s_at	1924.4	P	0.000244	
264354_s_at	92.3	P	0.008057	
264366_at	389.4	P	0.000244	
264353_at	149.4	P	0.01416	
264352_at	89.1	P	0.010742	
264368_at	315	P	0.001953	
264362_at	435	P	0.000244	
264361_at	70.2	P	0.00415	
264360_at	1298.6	P	0.000244	
264359_at	7.2	A	0.633789	
264364_at	1265.7	P	0.000244	
264367_at	385.3	P	0.001953	
264357_at	262.1	P	0.008057	
264351_at	492.5	P	0.000244	
264828_at	523.5	P	0.001953	
264827_at	8.6	A	0.567627	
264843_at	1113.6	P	0.000244	
264826_at	99.3	A	0.080566	
264824_at	780.7	P	0.000244	
264838_at	624.8	P	0.000244	
264840_at	285.6	P	0.001221	
264823_at	52.8	A	0.696289	
264822_at	43	A	0.111572	
264821_at	80.9	A	0.303711	
264820_at	2243.2	P	0.000244	
264829_at	12	A	0.466064	
265091_s_at	76.5	A	0.398926	
264819_at	71.1	M	0.056152	
264844_at	169.5	P	0.000732	
264818_at	295.8	P	0.000244	
264817_at	17.2	A	0.696289	
264835_at	223.5	P	0.000244	
264816_at	65.5	A	0.080566	
264833_at	285.2	P	0.005859	
264837_at	8526.3	P	0.000244	
264836_at	552.3	P	0.000244	
264815_at	116.5	A	0.111572	
264839_at	5232.1	P	0.000244	
264832_at	165.8	A	0.171387	
264845_at	8084.6	P	0.000244	
264831_at	109.7	A	0.111572	
264842_at	7.1	A	0.601074	
264830_at	19.6	A	0.828613	
264825_at	5.2	A	0.953857	
264834_at	683.8	P	0.00293	
264841_at	409.7	P	0.000732	
265088_at	124.6	P	0.008057	
265087_at	96.1	P	0.008057	
265086_at	20.5	A	0.533936	
265085_at	167.5	P	0.037598	
265084_at	5.8	A	0.828613	
265083_at	477.2	P	0.001953	
265082_at	77.6	A	0.432373	
265081_at	27.2	A	0.665527	
265067_at	621.5	P	0.000244	
265037_at	1808	P	0.000244	
265066_at	952	P	0.001221	
265095_at	35.1	A	0.171387	
265094_at	19.3	A	0.366211	
265043_at	1815.9	P	0.000244	
265093_at	104.8	A	0.466064	
265092_at	1118.8	P	0.000732	
265038_at	52.4	A	0.219482	
265045_s_at	384.7	P	0.000244	
265044_at	264.5	P	0.001221	
265090_at	112.2	P	0.00415	
265040_at	285.8	P	0.01416	
265065_at	96	P	0.046143	
265099_at	36	A	0.19458	
265039_at	92.9	A	0.149658	
265098_at	95.1	M	0.056152	
265097_at	320.8	P	0.00415	
265096_at	77.8	A	0.080566	
265042_at	1589.7	P	0.000732	
257404_at	78	P	0.005859	
265089_at	14.9	A	0.696289	
265041_at	59.5	P	0.00415	
265036_at	1050.3	P	0.000244	
264320_at	39.4	A	0.303711	
264328_at	219.1	A	0.111572	
264319_at	260.6	P	0.000244	
264330_at	377.1	P	0.000244	
264331_at	215.1	A	0.149658	
264329_at	1275.4	P	0.008057	
264325_at	68.2	P	0.005859	
264324_at	102	P	0.01416	
264327_at	2878.5	P	0.000244	
264323_at	5.3	A	0.696289	
264322_at	654.8	P	0.000244	
264321_at	321.9	P	0.00415	
264318_at	36.9	A	0.398926	
264326_at	248	P	0.000244	
263656_at	165.2	P	0.001953	
263664_at	581.7	P	0.000244	
263660_at	640.2	P	0.000244	
263667_at	10919	P	0.000244	
