ID_REF	VALUE	ABS_CALL	Detection p-value
245016_at	1526.1	P	0.000244
261585_at	77	P	0.037598
261568_at	50.8	A	0.398926
261584_at	323.5	P	0.018555
261579_at	2327.9	P	0.000732
261569_at	170.6	P	0.00415
261576_at	224.3	P	0.001953
261577_at	1917	P	0.000244
261583_at	3685.3	P	0.000244
261578_at	7332.9	P	0.000244
261580_at	3.3	A	0.567627
261570_at	829.2	P	0.001221
261575_at	6.3	A	0.780518
261581_at	1535.6	P	0.000732
261571_at	30.1	A	0.080566
261582_at	501.7	P	0.000732
261572_at	3552.1	P	0.000244
261573_at	80.6	A	0.19458
261574_at	45.5	A	0.432373
261042_at	12.4	A	0.665527
261043_at	704.7	P	0.000732
261025_at	154.3	M	0.056152
261057_at	1001	P	0.000244
261026_at	699.1	P	0.008057
261059_at	20	A	0.466064
261050_at	233.7	P	0.00293
261051_at	1.5	A	0.953857
261044_at	227.6	P	0.001953
261055_at	1167.2	P	0.000244
261045_at	2.2	A	0.969727
261053_at	2703.2	P	0.000244
261054_at	337.1	P	0.00293
261027_at	326.6	P	0.00415
261056_at	380.6	P	0.000244
261058_at	105.5	A	0.219482
257490_x_at	23.7	A	0.149658
261046_at	73.3	A	0.080566
261047_at	2.2	A	0.633789
261048_at	120.7	P	0.023926
261049_at	711.9	P	0.000732
261052_at	215.4	P	0.023926
259435_at	63.8	A	0.111572
259425_at	3.8	A	0.870361
259426_at	5635.1	P	0.000244
259439_at	87	A	0.366211
259434_at	1676.1	P	0.000732
259436_at	542.4	P	0.000244
259438_at	519.9	P	0.000732
259432_at	23	A	0.27417
259427_at	5.1	A	0.432373
259437_at	917.5	P	0.000244
259440_at	3730.9	P	0.000244
259428_at	659.9	P	0.000244
259433_at	78.7	A	0.219482
259429_at	108.1	A	0.080566
259430_at	520.2	P	0.000244
259431_at	4525.4	P	0.000244
261563_at	1419.2	P	0.001221
261586_at	112.1	A	0.129639
257484_at	910.4	P	0.001221
261587_at	66.2	A	0.366211
261588_at	152.5	P	0.037598
261589_at	91.2	A	0.129639
261590_at	29.7	A	0.533936
261560_at	477.6	P	0.000244
261564_at	226.1	P	0.001221
261535_at	244.8	P	0.000732
261561_at	621	P	0.000244
261591_at	197.5	P	0.001953
261562_at	4.8	A	0.665527
261592_at	9	A	0.904785
261558_at	273.5	P	0.000244
261559_at	185.7	P	0.023926
261536_at	1529.4	P	0.000244
261537_at	1391.8	P	0.000244
261534_at	1051.2	P	0.000244
261538_at	168.4	P	0.000244
261539_at	66.6	A	0.171387
261652_at	358	P	0.018555
261653_at	189.3	P	0.010742
261627_at	1050.9	P	0.000244
261654_at	104.9	P	0.01416
261625_at	286.5	P	0.00293
261655_at	319	P	0.001221
261656_at	137.5	P	0.001221
261621_at	940.7	P	0.000244
261622_at	799.3	P	0.000244
261623_at	7.2	A	0.850342
261626_at	218.2	P	0.046143
261624_at	140.5	P	0.008057
264169_at	384.2	P	0.010742
264175_at	11.9	A	0.633789
264167_at	68.4	M	0.056152
264151_at	56.1	A	0.171387
