ID_REF	VALUE	ABS_CALL	Detection p-value
245016_at	4363.8	P	0.000244
261585_at	110.8	A	0.219482
261568_at	18.1	A	0.5
261584_at	253.3	A	0.095215
261579_at	1505.5	P	0.00293
261569_at	90.9	A	0.080566
261576_at	125.5	A	0.171387
261577_at	2255.8	P	0.000244
261583_at	5095.5	P	0.000244
261578_at	7731.9	P	0.000244
261580_at	4.2	A	0.850342
261570_at	487	P	0.00415
261575_at	15.9	A	0.601074
261581_at	1284.2	P	0.001221
261571_at	38.3	A	0.19458
261582_at	433.2	P	0.008057
261572_at	3302	P	0.000244
261573_at	121	A	0.149658
261574_at	125.1	A	0.303711
261042_at	55.7	A	0.567627
261043_at	808.9	P	0.00293
261025_at	245.2	A	0.067627
261057_at	1098.8	P	0.000244
261026_at	729	P	0.018555
261059_at	62.6	A	0.366211
261050_at	215.4	P	0.005859
261051_at	4.3	A	0.888428
261044_at	170.9	P	0.00415
261055_at	975.1	P	0.000732
261045_at	4.5	A	0.953857
261053_at	3574.3	P	0.000244
261054_at	585.3	P	0.018555
261027_at	204.2	P	0.030273
261056_at	263.2	P	0.000244
261058_at	108.9	A	0.334473
257490_x_at	44.2	A	0.149658
261046_at	79.3	P	0.023926
261047_at	44.6	A	0.149658
261048_at	120.2	P	0.030273
261049_at	954.3	P	0.001221
261052_at	159.1	P	0.046143
259435_at	67.3	A	0.219482
259425_at	7.1	A	0.850342
259426_at	4070.9	P	0.000244
259439_at	6.4	A	0.696289
259434_at	1613.6	P	0.001221
259436_at	635.7	P	0.000244
259438_at	319.9	P	0.000732
259432_at	3.2	A	0.969727
259427_at	29.9	A	0.129639
259437_at	571.5	P	0.001221
259440_at	3762.8	P	0.000244
259428_at	622.9	P	0.005859
259433_at	80.1	A	0.19458
259429_at	110.6	P	0.046143
259430_at	772.7	P	0.000244
259431_at	4809	P	0.000244
261563_at	1524.1	P	0.00293
261586_at	96.7	A	0.171387
257484_at	946.8	P	0.001953
261587_at	91.1	A	0.303711
261588_at	209.8	P	0.046143
261589_at	108.8	A	0.171387
261590_at	9.7	A	0.601074
261560_at	385.2	P	0.000732
261564_at	163.2	P	0.010742
261535_at	188.8	P	0.010742
261561_at	568.5	P	0.000732
261591_at	287.4	P	0.000244
261562_at	39.4	A	0.398926
261592_at	14.6	A	0.943848
261558_at	279.7	P	0.010742
261559_at	127.4	P	0.018555
261536_at	1986.1	P	0.000244
261537_at	1443.6	P	0.000732
261534_at	1186.9	P	0.000244
261538_at	119.4	P	0.000732
261539_at	70.9	A	0.398926
261652_at	205.3	P	0.037598
261653_at	91.9	P	0.000732
261627_at	1337	P	0.000732
261654_at	144	P	0.018555
261625_at	248	P	0.005859
261655_at	539.3	P	0.001953
261656_at	267.7	P	0.005859
261621_at	1128.2	P	0.000244
261622_at	825.4	P	0.000732
261623_at	2.9	A	0.943848
261626_at	317.5	A	0.080566
261624_at	232.6	P	0.008057
264169_at	302.8	P	0.023926
264175_at	53.4	A	0.303711
264167_at	112.1	P	0.023926
264151_at	47.4	A	0.27417
