ID_REF	VALUE	ABS_CALL	Detection p-value
245016_at	3404.9	P	0.000244
261585_at	80.4	A	0.246094
261568_at	31	A	0.601074
261584_at	241.1	P	0.018555
261579_at	1962.7	P	0.001221
261569_at	228.7	P	0.00415
261576_at	180.7	P	0.010742
261577_at	2021.7	P	0.000244
261583_at	4779.6	P	0.000244
261578_at	7056.9	P	0.000244
261580_at	49	A	0.5
261570_at	627.6	P	0.000732
261575_at	55.3	A	0.398926
261581_at	1174.6	P	0.000732
261571_at	39.1	A	0.095215
261582_at	490.4	P	0.001221
261572_at	3577.7	P	0.000244
261573_at	53.3	A	0.27417
261574_at	101.4	A	0.432373
261042_at	79.5	A	0.466064
261043_at	818.8	P	0.000732
261025_at	155.1	P	0.023926
261057_at	1119.4	P	0.000244
261026_at	1120.8	P	0.005859
261059_at	124.3	A	0.067627
261050_at	232.6	P	0.001221
261051_at	1.7	A	0.696289
261044_at	189.2	P	0.000244
261055_at	929.5	P	0.000732
261045_at	4.8	A	0.976074
261053_at	2889.5	P	0.000244
261054_at	405.9	P	0.00415
261027_at	57.1	A	0.334473
261056_at	354.5	P	0.000244
261058_at	91.7	A	0.432373
257490_x_at	56.9	M	0.056152
261046_at	88.9	P	0.030273
261047_at	24.2	A	0.246094
261048_at	140.2	P	0.00293
261049_at	1076.1	P	0.000244
261052_at	160.5	P	0.030273
259435_at	65.6	A	0.171387
259425_at	4.5	A	0.904785
259426_at	6554.3	P	0.000244
259439_at	5.8	A	0.633789
259434_at	1978.6	P	0.000732
259436_at	616	P	0.000244
259438_at	422.4	P	0.000732
259432_at	2.4	A	0.850342
259427_at	47.8	M	0.056152
259437_at	781.5	P	0.000244
259440_at	3503.9	P	0.000244
259428_at	176.2	P	0.018555
259433_at	58.5	P	0.037598
259429_at	126.1	A	0.095215
259430_at	606.9	P	0.000244
259431_at	6256	P	0.000244
261563_at	1305	P	0.001221
261586_at	46.6	A	0.27417
257484_at	904.3	P	0.001953
261587_at	70.4	A	0.398926
261588_at	124.2	P	0.046143
261589_at	79.6	A	0.19458
261590_at	32.2	A	0.72583
261560_at	433.7	P	0.000244
261564_at	205.8	P	0.005859
261535_at	245.8	P	0.005859
261561_at	407.9	P	0.000244
261591_at	318.4	P	0.00293
261562_at	3.9	A	0.753906
261592_at	8.9	A	0.888428
261558_at	320.3	P	0.000244
261559_at	182.3	P	0.010742
261536_at	2467.8	P	0.000244
261537_at	1257.4	P	0.000732
261534_at	972.2	P	0.000244
261538_at	138.4	P	0.000244
261539_at	134.9	P	0.046143
261652_at	503.1	P	0.00415
261653_at	204	P	0.001221
261627_at	1097	P	0.000244
261654_at	116.5	P	0.037598
261625_at	230.8	P	0.000732
261655_at	305.4	P	0.000732
261656_at	195.3	P	0.00415
261621_at	983.6	P	0.000244
261622_at	940.8	P	0.000244
261623_at	3.7	A	0.962402
261626_at	311.2	P	0.005859
261624_at	169.7	P	0.01416
264169_at	286.4	P	0.00293
264175_at	16.9	A	0.303711
264167_at	27.4	A	0.432373
264151_at	36.9	A	0.432373
264168_at	1207.7	P	0.000244
264150_at	422.5	P	0.018555
264171_at	411.2	P	0.001221
264176_at	210	P	0.008057
264172_at	886.6	P	0.000732
264122_at	705	P	0.000244
264152_at	2827.6	P	0.000244
264177_at	3244.7	P	0.000244
264173_at	993.3	P	0.000244
264178_at	642.8	P	0.000244
264179_at	379.3	P	0.001953
264180_at	36.7	A	0.246094
264147_at	520.1	P	0.01416
264146_at	871.7	P	0.000244
264148_at	30	A	0.095215
264174_s_at	47.9	A	0.219482
264149_at	48.5	A	0.067627
264170_at	396.4	P	0.000732
264123_at	1149	P	0.000244
264121_at	2392.9	P	0.000244
259441_at	499.3	P	0.000244
259416_at	1950.5	P	0.000244
259442_at	93	A	0.095215
259413_at	5.3	A	0.80542
259415_at	436.1	P	0.000244
259417_at	44.5	A	0.095215
259443_at	12.9	A	0.5
259444_at	134.5	A	0.129639
259418_at	101.5	P	0.046143
259445_at	106.9	P	0.001953
259446_at	704.4	P	0.000244
259414_at	113.4	A	0.067627
259447_s_at	51.8	A	0.246094
260904_at	74.7	P	0.00415
260903_at	83.2	A	0.067627
260933_at	91.5	A	0.633789
260916_at	2099.6	P	0.000244
260911_at	4.5	A	0.962402
260913_at	5183.4	P	0.000244
260932_s_at	3.2	A	0.5
260906_at	14.9	A	0.665527
260931_at	16.1	A	0.828613
260912_at	5332.8	P	0.000244
260907_at	34.9	A	0.246094
260908_at	10.1	A	0.633789
260930_at	132.4	A	0.219482
260914_at	352.6	P	0.010742
260915_at	233.9	P	0.001221
260909_at	65.1	A	0.27417
260929_at	215.9	P	0.001953
260910_at	195.6	P	0.005859
260917_at	38.7	A	0.5
260905_at	20.2	A	0.5
260928_at	280.2	A	0.149658
262109_at	862.2	P	0.000244
262108_at	128.8	A	0.19458
262107_at	271.7	P	0.000732
262117_at	11039.7	P	0.000244
262122_at	5.8	A	0.601074
262121_at	114.6	A	0.366211
262105_at	60.3	A	0.334473
262115_at	79.6	A	0.149658
262116_at	540.6	P	0.00415
