ID_REF	VALUE	ABS_CALL	Detection p-value
245016_at	1706.2	P	0.000244
261585_at	18.1	A	0.334473
261568_at	34.2	A	0.432373
261584_at	274.7	P	0.037598
261579_at	2573	P	0.000732
261569_at	95	P	0.01416
261576_at	129.7	P	0.010742
261577_at	2128	P	0.000244
261583_at	4383.2	P	0.000244
261578_at	7167.7	P	0.000244
261580_at	12.7	A	0.665527
261570_at	458.5	P	0.001221
261575_at	8.3	A	0.601074
261581_at	1630	P	0.000732
261571_at	42.8	P	0.023926
261582_at	469.8	P	0.00293
261572_at	3465.6	P	0.000244
261573_at	56.4	A	0.111572
261574_at	130.3	A	0.27417
261042_at	10.5	A	0.601074
261043_at	773.9	P	0.001221
261025_at	153.6	P	0.046143
261057_at	1148.4	P	0.000244
261026_at	884.8	P	0.018555
261059_at	63.9	A	0.366211
261050_at	218.4	P	0.00415
261051_at	2.7	A	0.919434
261044_at	180.6	P	0.00293
261055_at	1318.7	P	0.000244
261045_at	4.8	A	0.953857
261053_at	3281.7	P	0.000244
261054_at	481.5	P	0.001221
261027_at	224.6	P	0.01416
261056_at	292.4	P	0.000244
261058_at	130.6	A	0.19458
257490_x_at	29.1	P	0.010742
261046_at	71	A	0.149658
261047_at	30.9	A	0.171387
261048_at	151.5	P	0.001953
261049_at	838.5	P	0.000732
261052_at	197.1	P	0.023926
259435_at	60.6	A	0.19458
259425_at	8.2	A	0.870361
259426_at	5324.3	P	0.000244
259439_at	6.9	A	0.72583
259434_at	1691.6	P	0.000732
259436_at	516.2	P	0.000732
259438_at	459.5	P	0.000244
259432_at	4.5	A	0.780518
259427_at	29.8	A	0.334473
259437_at	584.7	P	0.000732
259440_at	3641.2	P	0.000732
259428_at	553.7	P	0.001221
259433_at	45.9	A	0.19458
259429_at	141.1	M	0.056152
259430_at	581.3	P	0.000244
259431_at	4615.9	P	0.000244
261563_at	1404.8	P	0.001221
261586_at	25.4	A	0.219482
257484_at	840.4	P	0.001221
261587_at	61.9	A	0.334473
261588_at	158.4	A	0.095215
261589_at	78.9	A	0.171387
261590_at	6.1	A	0.850342
261560_at	391.6	P	0.001221
261564_at	187.8	P	0.001953
261535_at	234.4	P	0.00415
261561_at	509.9	P	0.000244
261591_at	288.3	P	0.005859
261562_at	11	A	0.633789
261592_at	7.4	A	0.850342
261558_at	263.8	P	0.00293
261559_at	127	P	0.018555
261536_at	1717.8	P	0.000244
261537_at	1203.4	P	0.000244
261534_at	1269.8	P	0.000244
261538_at	122.1	P	0.00415
261539_at	69.1	A	0.219482
