ID_REF	VALUE	ABS_CALL	Detection p-value
264352_at	123.7	P	0.00415
264368_at	266.3	P	0.008057
264362_at	347.7	P	0.000244
264361_at	165.6	P	0.01416
264360_at	1423.8	P	0.000244
264359_at	89.8	A	0.398926
264364_at	979.4	P	0.000244
264367_at	393.7	P	0.000244
264357_at	306	P	0.005859
264351_at	419.5	P	0.000244
264828_at	676.9	P	0.001221
264827_at	17	A	0.567627
264843_at	1215.8	P	0.000244
264826_at	113.9	A	0.219482
264824_at	749.8	P	0.000244
264838_at	579.1	P	0.000244
264840_at	356.1	P	0.001953
264823_at	85.2	A	0.601074
264822_at	60.9	A	0.080566
264821_at	91.7	A	0.466064
264820_at	2133.9	P	0.000244
264829_at	31.1	A	0.334473
265091_s_at	54.1	A	0.567627
264819_at	110.5	A	0.095215
264844_at	259.9	P	0.000244
264818_at	224	P	0.000244
264817_at	27.1	A	0.72583
264835_at	174.7	P	0.000244
264816_at	102.6	P	0.030273
264833_at	335.8	P	0.008057
264837_at	9243.7	P	0.000244
264836_at	735.6	P	0.000244
264815_at	151.8	A	0.149658
264839_at	5313.9	P	0.000244
264832_at	151.4	A	0.27417
264845_at	9355.6	P	0.000244
264831_at	198	P	0.046143
264842_at	4.8	A	0.633789
264830_at	3.7	A	0.80542
264825_at	10.1	A	0.943848
264834_at	718	P	0.001221
264841_at	391.6	P	0.00293
265088_at	100.1	P	0.018555
265087_at	117.7	P	0.037598
265086_at	25.3	A	0.432373
265085_at	169.5	A	0.129639
265084_at	80.2	A	0.567627
265083_at	444.3	P	0.001221
265082_at	82	A	0.27417
265081_at	6.4	A	0.888428
265067_at	261	P	0.000244
265037_at	1852.1	P	0.000244
265066_at	1372.3	P	0.000732
265095_at	51.5	A	0.27417
265094_at	11.7	A	0.533936
265043_at	1597.8	P	0.000244
265093_at	96.7	A	0.5
265092_at	1050.1	P	0.000732
265038_at	76.5	A	0.080566
265045_s_at	303.7	P	0.000732
265044_at	180.8	P	0.008057
265090_at	167.2	P	0.00293
265040_at	237.5	P	0.018555
265065_at	68.9	A	0.129639
265099_at	112.1	A	0.19458
265039_at	104.2	A	0.067627
265098_at	108	A	0.095215
265097_at	297.7	P	0.008057
265096_at	80.1	M	0.056152
265042_at	1777.6	P	0.000732
257404_at	64.9	P	0.008057
265089_at	10	A	0.72583
265041_at	65.1	P	0.00293
265036_at	1105.6	P	0.000244
264320_at	12.2	A	0.366211
264328_at	218.4	A	0.111572
264319_at	329.4	P	0.000244
264330_at	359.8	P	0.001221
264331_at	194.5	A	0.067627
264329_at	1521.7	P	0.005859
264325_at	100.4	P	0.001953
264324_at	122.3	P	0.01416
264327_at	2785	P	0.000244
264323_at	9.2	A	0.665527
264322_at	625.4	P	0.000244
264321_at	243.2	P	0.018555
264318_at	9	A	0.601074
264326_at	238.9	P	0.000244
263656_at	255.1	P	0.000244
263664_at	743.7	P	0.000244
263660_at	576.2	P	0.000732
263667_at	12248.5	P	0.000244
263661_at	387	P	0.000244
263654_at	562.2	P	0.000244
