ID_REF	VALUE	ABS_CALL	Detection p-value
245016_at	3004.6	P	0.000244
261585_at	40.2	A	0.466064
261568_at	23.9	A	0.533936
261584_at	287.5	P	0.023926
261579_at	1859	P	0.000732
261569_at	223.2	P	0.001953
261576_at	155.2	P	0.010742
261577_at	2686.7	P	0.000244
261583_at	4831.6	P	0.000244
261578_at	6603.1	P	0.000244
261580_at	18.4	A	0.432373
261570_at	613.9	P	0.000732
261575_at	11.5	A	0.696289
261581_at	1153.1	P	0.000732
261571_at	43.8	A	0.095215
261582_at	450.3	P	0.001953
261572_at	3517.1	P	0.000244
261573_at	69.4	A	0.149658
261574_at	114	A	0.303711
261042_at	48.8	A	0.567627
261043_at	753.4	P	0.000732
261025_at	200.3	P	0.037598
261057_at	1121.3	P	0.000244
261026_at	989.8	P	0.008057
261059_at	101	A	0.129639
261050_at	206.5	P	0.00415
261051_at	6.4	A	0.780518
261044_at	160.3	P	0.010742
261055_at	1212.2	P	0.000244
261045_at	2.6	A	0.991943
261053_at	2778.9	P	0.000244
261054_at	438	P	0.001953
261027_at	29.6	A	0.303711
261056_at	320.1	P	0.000244
261058_at	112	A	0.366211
257490_x_at	34.9	A	0.19458
261046_at	61	A	0.067627
261047_at	48.8	A	0.19458
261048_at	124	P	0.008057
261049_at	1034.4	P	0.000732
261052_at	188.9	P	0.030273
259435_at	50.5	A	0.27417
259425_at	2.9	A	0.850342
259426_at	5508.7	P	0.000244
259439_at	15.7	A	0.5
259434_at	2251.1	P	0.000732
259436_at	573	P	0.000732
259438_at	604.6	P	0.000732
259432_at	12.4	A	0.303711
259427_at	4.8	A	0.567627
259437_at	820	P	0.000244
259440_at	3595.1	P	0.000244
259428_at	202.8	P	0.005859
259433_at	92	P	0.030273
259429_at	145.1	A	0.111572
259430_at	586.6	P	0.000244
259431_at	6418.7	P	0.000244
261563_at	1275.1	P	0.001953
261586_at	73.7	A	0.219482
257484_at	851.6	P	0.001221
261587_at	44	A	0.303711
261588_at	78.5	A	0.067627
261589_at	44.4	A	0.27417
261590_at	20	A	0.633789
261560_at	576.8	P	0.000244
261564_at	149.9	P	0.001221
261535_at	261.6	P	0.001953
261561_at	451.3	P	0.000244
261591_at	264.3	P	0.001953
261562_at	4.7	A	0.850342
261592_at	8.7	A	0.943848
261558_at	362.2	P	0.000244
261559_at	186	P	0.018555
261536_at	2248	P	0.000244
261537_at	1203.2	P	0.000244
261534_at	1139.9	P	0.000244
261538_at	107.4	P	0.000732
261539_at	93.3	A	0.111572
261652_at	451.4	P	0.00293
261653_at	191.7	P	0.000244
261627_at	1140.5	P	0.000244
261654_at	117.3	P	0.037598
261625_at	299.8	P	0.001953
261655_at	345.5	P	0.00293
261656_at	246.5	P	0.00293
261621_at	1083.4	P	0.000244
261622_at	893.5	P	0.000244
261623_at	2.2	A	0.962402
261626_at	343.8	P	0.008057
261624_at	183.9	P	0.005859
264169_at	247.5	P	0.008057
264175_at	59.3	A	0.171387
264167_at	55.7	A	0.246094
264151_at	60.6	A	0.27417
264168_at	1175.1	P	0.000244
264150_at	360.6	P	0.005859
264171_at	356.8	P	0.000732
264176_at	179.5	P	0.005859
264172_at	799.9	P	0.000732
264122_at	646.8	P	0.000244
264152_at	2837.3	P	0.000244
264177_at	3272.4	P	0.000244
264173_at	991.3	P	0.000244
264178_at	685.1	P	0.000244
264179_at	301.4	P	0.001953
264180_at	27.4	A	0.366211
264147_at	384.8	P	0.030273
264146_at	827	P	0.000732
264148_at	44	A	0.246094
264174_s_at	73.9	A	0.171387
264149_at	59.4	A	0.067627
264170_at	451.9	P	0.000732
264123_at	905.4	P	0.000244
264121_at	2193.5	P	0.000244
259441_at	500.9	P	0.000244
259416_at	1704.3	P	0.000244
259442_at	53.7	A	0.366211
259413_at	13.4	A	0.567627
