ID_REF	VALUE	ABS_CALL	Detection p-value
245016_at	3375.2	P	0.000244
261585_at	69.1	A	0.466064
261568_at	14.4	A	0.533936
261584_at	209.9	A	0.111572
261579_at	2360.5	P	0.000244
261569_at	151.4	P	0.00415
261576_at	213.6	P	0.023926
261577_at	1956.3	P	0.000244
261583_at	5486	P	0.000244
261578_at	7541.6	P	0.000244
261580_at	7.2	A	0.828613
261570_at	440.3	P	0.001953
261575_at	54.9	A	0.466064
261581_at	1258.4	P	0.000732
261571_at	24.9	A	0.219482
261582_at	403.1	P	0.00293
261572_at	4372.9	P	0.000244
261573_at	99.4	A	0.111572
261574_at	197.2	A	0.19458
261042_at	67	A	0.533936
261043_at	810.2	P	0.000732
261025_at	157.3	P	0.046143
261057_at	1122.6	P	0.000244
261026_at	999.5	P	0.008057
261059_at	138.9	A	0.067627
261050_at	238.7	P	0.008057
261051_at	7.6	A	0.665527
261044_at	179.2	P	0.001953
261055_at	1208.7	P	0.000732
261045_at	2.7	A	0.98584
261053_at	2979.2	P	0.000244
261054_at	371.9	P	0.001953
261027_at	89	A	0.246094
261056_at	385.9	P	0.000244
261058_at	103.4	A	0.27417
257490_x_at	31.3	A	0.149658
261046_at	104.3	A	0.067627
261047_at	42.4	A	0.080566
261048_at	81.3	A	0.111572
261049_at	1063.4	P	0.001221
261052_at	101.4	P	0.023926
259435_at	71.2	A	0.171387
259425_at	7.2	A	0.904785
259426_at	5362.3	P	0.000244
259439_at	4.5	A	0.72583
259434_at	1877.2	P	0.001221
259436_at	664	P	0.000244
259438_at	485.3	P	0.001221
259432_at	56.8	A	0.129639
259427_at	42.6	P	0.037598
259437_at	954.1	P	0.000732
259440_at	3620.6	P	0.000244
259428_at	250.4	P	0.005859
259433_at	74.8	A	0.19458
259429_at	143.5	A	0.111572
259430_at	510.4	P	0.000244
259431_at	5442.3	P	0.000244
261563_at	1357.5	P	0.00293
261586_at	74.6	A	0.366211
257484_at	908	P	0.001221
261587_at	119.5	A	0.334473
261588_at	96.5	A	0.111572
261589_at	108	A	0.219482
261590_at	11.2	A	0.904785
261560_at	380.8	P	0.000244
261564_at	164.3	P	0.008057
261535_at	223.4	P	0.00293
261561_at	363.1	P	0.000244
261591_at	237.3	P	0.001221
261562_at	5.6	A	0.888428
261592_at	9.8	A	0.904785
261558_at	234.9	P	0.001953
261559_at	187.2	P	0.023926
261536_at	2356.1	P	0.000244
261537_at	1225.9	P	0.000732
261534_at	989.7	P	0.000244
261538_at	170.6	P	0.005859
261539_at	62.5	A	0.111572
261652_at	407.7	P	0.00293
261653_at	170.3	P	0.008057
261627_at	1119.9	P	0.000244
261654_at	124	P	0.046143
261625_at	215.1	P	0.008057
261655_at	476.8	P	0.005859
261656_at	190.2	P	0.00415
261621_at	1029.8	P	0.000244
261622_at	871.1	P	0.000244
261623_at	7.3	A	0.953857
261626_at	269.1	P	0.018555
261624_at	201.6	P	0.023926
264169_at	280	P	0.030273
264175_at	33.7	A	0.27417
264167_at	48	A	0.246094
264151_at	62.8	A	0.129639
264168_at	1188.8	P	0.000244
264150_at	261	P	0.037598
264171_at	355	P	0.001953
264176_at	166.4	P	0.00293
264172_at	871.4	P	0.000732
264122_at	713	P	0.000244
264152_at	2786.4	P	0.000244
264177_at	3228.5	P	0.000244
264173_at	1094.4	P	0.000244
264178_at	749.5	P	0.000244
264179_at	313.9	P	0.00415
264180_at	2.7	A	0.5
264147_at	344.6	M	0.056152
264146_at	675.2	P	0.000732
264148_at	49.5	P	0.046143
264174_s_at	44.1	A	0.129639
264149_at	67.6	A	0.095215
264170_at	375.3	P	0.000244
264123_at	1190.9	P	0.000244
264121_at	2465.4	P	0.000244
259441_at	572.6	P	0.000244
259416_at	1790.5	P	0.000244
259442_at	93.2	P	0.046143
259413_at	32.9	A	0.567627
259415_at	575.9	P	0.000244
259417_at	37.3	A	0.366211
259443_at	47	A	0.567627
259444_at	122.7	A	0.246094
259418_at	157.6	P	0.010742
259445_at	72.4	A	0.080566
259446_at	657.8	P	0.000244
259414_at	57.4	A	0.149658
259447_s_at	38.2	A	0.432373
260904_at	52.5	P	0.010742
260903_at	87.7	P	0.046143
260933_at	62	A	0.696289
260916_at	1740.6	P	0.000244
260911_at	15.9	A	0.633789
260913_at	4151.2	P	0.000244
260932_s_at	4.9	A	0.466064
260906_at	3	A	0.943848
260931_at	10.1	A	0.780518
260912_at	4639.1	P	0.000244
