ID_REF	VALUE	ABS_CALL	Detection p-value
245016_at	2137.3	P	0.000244
261585_at	141.9	A	0.219482
261568_at	21.4	A	0.432373
261584_at	303.2	P	0.030273
261579_at	2562.3	P	0.000732
261569_at	134.8	P	0.030273
261576_at	200.2	P	0.00415
261577_at	2055.5	P	0.000244
261583_at	4304.1	P	0.000244
261578_at	7368.4	P	0.000244
261580_at	7.1	A	0.665527
261570_at	579.6	P	0.000732
261575_at	23.4	A	0.665527
261581_at	1609.2	P	0.000732
261571_at	21.4	A	0.080566
261582_at	428	P	0.001953
261572_at	3015.8	P	0.000244
261573_at	81.8	A	0.067627
261574_at	95.3	A	0.27417
261042_at	7.2	A	0.665527
261043_at	866	P	0.000732
261025_at	196.2	P	0.046143
261057_at	989.3	P	0.000244
261026_at	613.7	P	0.010742
261059_at	11.5	A	0.567627
261050_at	164.4	P	0.018555
261051_at	3.1	A	0.904785
261044_at	164.9	P	0.001953
261055_at	1264.7	P	0.000244
261045_at	2	A	0.991943
261053_at	3323.2	P	0.000244
261054_at	477.1	P	0.001953
261027_at	253.1	P	0.008057
261056_at	238.7	P	0.001221
261058_at	130.8	A	0.19458
257490_x_at	19	A	0.149658
261046_at	84.8	A	0.246094
261047_at	8.7	A	0.334473
261048_at	94.3	P	0.010742
261049_at	739.2	P	0.001221
261052_at	151.9	P	0.030273
259435_at	44.6	A	0.303711
259425_at	7.1	A	0.919434
259426_at	5759.4	P	0.000244
259439_at	12.7	A	0.533936
259434_at	1682	P	0.000732
259436_at	502	P	0.000244
259438_at	433	P	0.000732
259432_at	18.2	A	0.72583
259427_at	77.8	P	0.046143
259437_at	524	P	0.000244
259440_at	2986.5	P	0.000244
259428_at	778.4	P	0.000244
259433_at	14.9	A	0.432373
259429_at	140	A	0.095215
259430_at	506.9	P	0.000244
259431_at	4494.6	P	0.000244
261563_at	1502.9	P	0.001221
261586_at	94	A	0.080566
257484_at	962.4	P	0.001221
261587_at	68.8	A	0.533936
261588_at	177.2	P	0.037598
261589_at	100	A	0.129639
261590_at	34.2	A	0.366211
261560_at	461.2	P	0.000244
261564_at	163.1	P	0.001953
261535_at	242.7	P	0.005859
261561_at	546.2	P	0.000244
261591_at	268.9	P	0.00415
261562_at	5.5	A	0.870361
261592_at	9.3	A	0.780518
261558_at	199.8	P	0.000244
261559_at	164.7	P	0.01416
261536_at	1465.6	P	0.000244
261537_at	1397.8	P	0.000244
261534_at	1155.7	P	0.000244
261538_at	124.5	P	0.000244
261539_at	48.1	A	0.19458
261652_at	340.2	P	0.030273
261653_at	224.2	P	0.023926
261627_at	1181.8	P	0.000244
261654_at	138.3	P	0.005859
261625_at	200.5	P	0.001953
261655_at	385.9	P	0.00293
261656_at	213.1	P	0.008057
261621_at	1090.5	P	0.000244
261622_at	798.6	P	0.000732
261623_at	12.1	A	0.780518
261626_at	344.5	P	0.030273
261624_at	183.7	P	0.001953
264169_at	334.7	P	0.01416
264175_at	56.6	A	0.5
264167_at	60.5	A	0.19458
264151_at	45	A	0.27417
264168_at	1290.3	P	0.000244
264150_at	322.7	P	0.008057
264171_at	451.9	P	0.001221
264176_at	136.4	P	0.030273
264172_at	1011.7	P	0.000244
264122_at	643.9	P	0.000244
264152_at	2844.7	P	0.000244
264177_at	2958.9	P	0.000244
264173_at	1193.5	P	0.000244
264178_at	1034	P	0.000244
264179_at	336.9	P	0.005859
264180_at	2.9	A	0.696289
264147_at	253.8	P	0.046143
264146_at	559.4	P	0.000732
264148_at	112.1	P	0.001953
264174_s_at	19.8	A	0.432373
264149_at	31.2	A	0.366211
264170_at	596.4	P	0.000732
264123_at	1109.6	P	0.000244
264121_at	2422.9	P	0.000244
259441_at	542.4	P	0.000244
259416_at	1737.9	P	0.000244
259442_at	68.9	A	0.095215
259413_at	2.4	A	0.969727
259415_at	434.3	P	0.000244
259417_at	20	A	0.466064
259443_at	162.2	P	0.037598
259444_at	173.8	A	0.095215
259418_at	190.7	P	0.000244
259445_at	109.8	M	0.056152
259446_at	674.3	P	0.000244
259414_at	64.2	A	0.129639
259447_s_at	50.1	A	0.171387
260904_at	552.7	P	0.000244
260903_at	197	P	0.010742
260933_at	206.4	A	0.19458
260916_at	2265	P	0.000244
260911_at	7	A	0.953857
260913_at	5674.7	P	0.000244
260932_s_at	46.7	A	0.334473
260906_at	3.9	A	0.943848
260931_at	20.9	A	0.696289
260912_at	5287.1	P	0.000244
260907_at	80.8	A	0.149658
260908_at	12.8	A	0.72583
260930_at	139.1	A	0.171387
260914_at	185.4	A	0.067627
260915_at	155.8	P	0.000244
260909_at	4	A	0.943848
260929_at	189.7	P	0.00293
260910_at	281.2	P	0.00293
260917_at	53.1	A	0.334473
260905_at	15.4	A	0.5
260928_at	202.2	A	0.27417
262109_at	860.4	P	0.000244
262108_at	143.8	A	0.129639
262107_at	308.7	P	0.001953
262117_at	10643	P	0.000244
262122_at	8.2	A	0.601074
262121_at	78.1	A	0.366211
262105_at	75.5	A	0.246094
262115_at	61.3	A	0.398926
262116_at	435.9	P	0.00415
262113_at	241.7	P	0.010742
262132_at	37.2	A	0.246094
262110_at	1289.5	P	0.000244
262118_at	290.6	P	0.001221
262114_at	252.7	P	0.030273
262112_at	675.2	P	0.001953
262130_at	365.9	P	0.000732
262131_at	80.8	A	0.246094
262104_at	867.9	P	0.00293
262119_s_at	12911.3	P	0.000244
262103_at	61.1	P	0.046143
262120_at	76.5	P	0.001221
262111_at	409.6	P	0.001953
262106_at	131	P	0.000244
262102_at	14.5	A	0.753906
263170_at	567.5	P	0.001221
263169_at	6.5	A	0.850342
263168_at	58.1	P	0.037598
263167_at	285.3	P	0.000732
263117_at	506.8	P	0.000732
263166_at	2.8	A	0.953857
263115_at	157.4	A	0.19458
263165_at	405.8	P	0.00293
263164_at	264	P	0.00293
263112_at	126.1	P	0.00293
263118_at	307.2	P	0.001221
263143_at	58.1	P	0.008057
263119_at	272.3	P	0.005859
263114_at	10250.5	P	0.000244
263116_s_at	1152.2	P	0.000244
263113_at	345.1	P	0.000244
263163_at	606.4	P	0.000244
264363_at	22.8	A	0.567627
264358_at	99	A	0.149658
264356_at	134	P	0.000732
264355_at	1230.9	P	0.001221
264365_s_at	1620.5	P	0.000244
264354_s_at	102.1	P	0.010742
264366_at	352.1	P	0.000244
264353_at	104.8	A	0.067627
264352_at	74.5	P	0.023926
264368_at	415.1	P	0.001953
264362_at	546.7	P	0.000244
264361_at	105.4	P	0.010742
264360_at	1115	P	0.000244
264359_at	54.2	A	0.633789
264364_at	1106.2	P	0.000244
264367_at	508.1	P	0.000244
264357_at	253.1	P	0.005859
264351_at	460.8	P	0.000244
264828_at	582.7	P	0.001221
264827_at	43	A	0.432373
264843_at	1272.8	P	0.000244
264826_at	67.9	A	0.149658
264824_at	582.5	P	0.000244
264838_at	587.6	P	0.000244
264840_at	280.2	P	0.001953
264823_at	110.8	A	0.696289
264822_at	86.9	A	0.067627
264821_at	102.1	A	0.334473
264820_at	2168.4	P	0.000244
264829_at	2.9	A	0.80542
265091_s_at	63.5	A	0.432373
264819_at	65.6	P	0.037598
264844_at	158.8	P	0.000244
264818_at	285.5	P	0.000244
264817_at	13.4	A	0.696289
264835_at	252.4	P	0.000244
264816_at	50.1	A	0.219482
264833_at	286.1	P	0.005859
264837_at	7814.4	P	0.000244
264836_at	597.6	P	0.000244
264815_at	111.1	A	0.129639
264839_at	4697.4	P	0.000244
264832_at	278.7	P	0.018555
264845_at	9507.2	P	0.000244
264831_at	132	A	0.219482
264842_at	8.4	A	0.780518
264830_at	7.4	A	0.870361
264825_at	5.4	A	0.969727
264834_at	619.1	P	0.000244
264841_at	402.4	P	0.001221
265088_at	83.1	P	0.018555
265087_at	136.2	P	0.01416
265086_at	7.1	A	0.665527
265085_at	160.8	A	0.080566
265084_at	14.2	A	0.780518
265083_at	407.9	P	0.001953
265082_at	72.4	A	0.466064
265081_at	4.2	A	0.904785
265067_at	1247.1	P	0.000244
265037_at	1839.9	P	0.000244
265066_at	871.7	P	0.000732
265095_at	23.6	A	0.334473
265094_at	11.3	A	0.601074
265043_at	1918.5	P	0.000244
265093_at	72.3	A	0.601074
265092_at	921.1	P	0.000732
265038_at	38.3	P	0.005859
265045_s_at	282.3	P	0.000244
265044_at	234.4	P	0.001953
265090_at	104.7	P	0.008057
265040_at	283.7	P	0.008057
265065_at	123.9	P	0.046143
265099_at	41.6	A	0.219482
265039_at	137	P	0.030273
265098_at	124.2	A	0.095215
265097_at	251.8	P	0.010742
265096_at	62.7	P	0.037598
265042_at	1141.7	P	0.000732
257404_at	55.3	P	0.01416
265089_at	8.6	A	0.753906
265041_at	86.7	P	0.008057
265036_at	1013.4	P	0.000244
264320_at	53	A	0.466064
264328_at	172.6	A	0.129639
264319_at	336.1	P	0.000244
264330_at	293.1	P	0.000244
264331_at	224.3	A	0.095215
264329_at	1119.1	P	0.005859
264325_at	60.1	P	0.00415
264324_at	129.2	P	0.008057
264327_at	2585.9	P	0.000244
264323_at	6.4	A	0.72583
264322_at	730.4	P	0.000244
264321_at	310.1	P	0.00293
264318_at	51.4	A	0.466064
264326_at	209.8	P	0.000244
263656_at	257	P	0.00415
263664_at	326.3	P	0.000244
263660_at	622.3	P	0.000244
263667_at	12085.3	P	0.000244
263661_at	377.3	P	0.000732
263654_at	740	P	0.000244
263653_at	46.7	A	0.19458
263652_at	1.6	A	0.870361
263651_at	665	P	0.000244
263668_at	968.3	P	0.000244
263650_at	84.2	A	0.366211
263649_at	66.2	A	0.171387
263648_at	12.1	A	0.72583
263669_at	3243.9	P	0.000244
263663_at	13453	P	0.000244
263678_at	1010.6	P	0.001221
263662_at	1671.3	P	0.000244
263657_at	476.5	P	0.010742
263659_at	10.5	A	0.780518
263665_at	3947.2	P	0.000244
263658_at	3.9	A	0.969727
263655_at	27.9	A	0.334473
263666_at	960.9	P	0.000244
263677_at	221.5	P	0.01416
264609_at	1669.4	P	0.000244
264601_at	49.7	A	0.567627
264605_at	241.5	P	0.000244
264612_at	81.8	A	0.219482
