ID_REF	VALUE	ABS_CALL	Detection p-value
245016_at	1018	P	0.000244
261585_at	37	A	0.398926
261568_at	44.1	A	0.466064
261584_at	124.3	A	0.111572
261579_at	3062.5	P	0.000732
261569_at	110.7	A	0.111572
261576_at	296.4	P	0.01416
261577_at	1139.7	P	0.000244
261583_at	5364.4	P	0.000244
261578_at	9639.3	P	0.000244
261580_at	20.5	A	0.633789
261570_at	597.6	P	0.000732
261575_at	24.8	A	0.567627
261581_at	1525.6	P	0.001221
261571_at	57.9	P	0.030273
261582_at	444.2	P	0.00415
261572_at	4337.6	P	0.000244
261573_at	94.3	A	0.246094
261574_at	140.2	A	0.219482
261042_at	48.3	A	0.601074
261043_at	714	P	0.000732
261025_at	139.8	A	0.129639
261057_at	1018.4	P	0.000244
261026_at	967.4	P	0.023926
261059_at	14.9	A	0.27417
261050_at	129.9	P	0.018555
261051_at	1.6	A	0.976074
261044_at	230.7	P	0.00415
261055_at	1711.7	P	0.000732
261045_at	3.2	A	0.943848
261053_at	3584.4	P	0.000244
261054_at	463.5	P	0.005859
261027_at	154.7	P	0.023926
261056_at	183.8	P	0.000244
261058_at	206.7	A	0.246094
257490_x_at	33.8	A	0.129639
261046_at	51.6	A	0.129639
261047_at	35.7	A	0.246094
261048_at	107.1	A	0.095215
261049_at	753.6	P	0.001221
261052_at	136	P	0.030273
259435_at	48.4	A	0.19458
259425_at	8.5	A	0.850342
259426_at	3349.5	P	0.000244
259439_at	8.4	A	0.72583
259434_at	1433.2	P	0.000732
259436_at	911.5	P	0.00293
259438_at	314.5	P	0.000732
259432_at	5	A	0.72583
259427_at	22.2	A	0.432373
259437_at	704.1	P	0.000244
259440_at	5138.5	P	0.000732
259428_at	408.4	P	0.008057
259433_at	72.9	A	0.149658
259429_at	111.6	A	0.129639
259430_at	744.8	P	0.000244
259431_at	2317.1	P	0.000244
261563_at	1601.2	P	0.008057
261586_at	19	A	0.533936
257484_at	594.5	P	0.001953
261587_at	71.3	A	0.366211
261588_at	45.6	A	0.219482
261589_at	61.7	A	0.334473
261590_at	3	A	0.962402
261560_at	302	P	0.000244
261564_at	148.3	P	0.010742
261535_at	179.5	P	0.01416
261561_at	628.1	P	0.000244
261591_at	316.6	P	0.005859
261562_at	5.4	A	0.696289
261592_at	9.9	A	0.932373
261558_at	127.3	P	0.000732
261559_at	132.3	P	0.008057
261536_at	1747	P	0.000244
261537_at	1386.1	P	0.000244
261534_at	1552.8	P	0.000244
261538_at	143.2	P	0.000244
261539_at	62.2	A	0.432373
261652_at	443.8	P	0.008057
261653_at	189.3	P	0.008057
261627_at	851.2	P	0.000244
261654_at	149	P	0.046143
261625_at	204	P	0.046143
261655_at	616	P	0.00415
261656_at	231.8	P	0.008057
261621_at	1053.8	P	0.000244
261622_at	553.6	P	0.000244
261623_at	10.2	A	0.850342
261626_at	395.7	P	0.037598
261624_at	134.7	M	0.056152
264169_at	362.5	P	0.008057
264175_at	28.7	A	0.398926
264167_at	90.3	A	0.067627
264151_at	104.6	A	0.111572
264168_at	697.3	P	0.000244
264150_at	334.8	P	0.023926
264171_at	435	P	0.008057
264176_at	105.7	P	0.010742
264172_at	789.1	P	0.000244
264122_at	407	P	0.000244
264152_at	2176.4	P	0.000244
264177_at	4467.1	P	0.000244
264173_at	1265.1	P	0.000244
264178_at	767.5	P	0.000244
264179_at	361.2	P	0.010742
264180_at	37.5	A	0.466064
264147_at	248	P	0.037598
264146_at	585.7	P	0.000244
264148_at	135.1	A	0.067627
264174_s_at	65.6	A	0.398926
264149_at	54.3	A	0.366211
264170_at	658.6	P	0.000244
264123_at	791.5	P	0.000244
264121_at	2165.8	P	0.000244
259441_at	500.2	P	0.000244
259416_at	1828.6	P	0.000244
259442_at	63.9	A	0.171387
259413_at	2.6	A	0.969727
259415_at	306.9	P	0.000244
259417_at	42.1	A	0.334473
259443_at	165.4	P	0.046143
259444_at	137.6	A	0.149658
259418_at	183.1	P	0.001953
259445_at	69.8	A	0.171387
259446_at	1023.6	P	0.000244
259414_at	84.6	A	0.149658
259447_s_at	99.9	A	0.149658
260904_at	368.9	P	0.000244
260903_at	125.6	A	0.111572
260933_at	70.6	A	0.334473
260916_at	2271.5	P	0.000244
260911_at	2.9	A	0.998047
260913_at	6007.7	P	0.000244
260932_s_at	14.3	A	0.533936
260906_at	7.4	A	0.943848
260931_at	108.7	A	0.5
260912_at	5593.3	P	0.000244
260907_at	36.7	A	0.334473
260908_at	22.5	A	0.633789
260930_at	122.3	A	0.366211
260914_at	146.7	P	0.030273
260915_at	168.4	P	0.00293
260909_at	36.6	A	0.432373
260929_at	165.6	P	0.00415
260910_at	281.7	P	0.00415
260917_at	19.3	A	0.432373
260905_at	31.1	A	0.466064
260928_at	239.1	A	0.246094
262109_at	959.4	P	0.000244
262108_at	146.7	A	0.129639
262107_at	269.8	P	0.00415
262117_at	14354.4	P	0.000244
