ID_REF	VALUE	ABS_CALL	Detection p-value
245016_at	2604.2	P	0.000244
261585_at	62.1	A	0.27417
261568_at	10.4	A	0.72583
261584_at	360.8	M	0.056152
261579_at	2098.3	P	0.000732
261569_at	114.4	P	0.010742
261576_at	263	P	0.010742
261577_at	2461.5	P	0.000244
261583_at	5158.4	P	0.000244
261578_at	7723.3	P	0.000244
261580_at	5.1	A	0.633789
261570_at	584.7	P	0.000244
261575_at	28.2	A	0.432373
261581_at	955	P	0.000732
261571_at	17.4	A	0.171387
261582_at	466.2	P	0.001221
261572_at	4096.4	P	0.000244
261573_at	108.8	A	0.095215
261574_at	133.6	A	0.27417
261042_at	64.8	A	0.466064
261043_at	823.6	P	0.000732
261025_at	219.2	P	0.046143
261057_at	933.3	P	0.000244
261026_at	672.8	P	0.010742
261059_at	87.1	A	0.19458
261050_at	204.3	P	0.008057
261051_at	3.9	A	0.953857
261044_at	210.4	P	0.001221
261055_at	1310.2	P	0.000732
261045_at	7.6	A	0.976074
261053_at	3772	P	0.000244
261054_at	506.1	P	0.000732
261027_at	89.4	A	0.19458
261056_at	398.3	P	0.000244
261058_at	138.7	A	0.366211
257490_x_at	24.4	A	0.19458
261046_at	75	A	0.111572
261047_at	44.7	A	0.129639
261048_at	133.6	P	0.005859
261049_at	884.1	P	0.000732
261052_at	214	P	0.023926
259435_at	64.8	A	0.398926
259425_at	10.2	A	0.870361
259426_at	4609.6	P	0.000244
259439_at	13.1	A	0.633789
259434_at	1922.3	P	0.000732
259436_at	783.1	P	0.000244
259438_at	514.1	P	0.000244
259432_at	32.4	A	0.334473
259427_at	35.9	A	0.366211
259437_at	1035.3	P	0.000732
259440_at	2841.8	P	0.000732
259428_at	291.6	P	0.010742
259433_at	69.9	A	0.080566
259429_at	138.7	A	0.129639
259430_at	573.8	P	0.000244
259431_at	5069.2	P	0.000244
261563_at	1283.6	P	0.001221
261586_at	104.5	A	0.171387
257484_at	812	P	0.001953
261587_at	80.9	A	0.246094
261588_at	205.8	P	0.023926
261589_at	119.8	A	0.219482
261590_at	26.2	A	0.5
261560_at	604.3	P	0.000732
261564_at	129.5	P	0.010742
261535_at	245.1	P	0.00415
261561_at	513.2	P	0.000244
261591_at	295.6	P	0.000732
261562_at	6.6	A	0.753906
261592_at	10	A	0.828613
261558_at	284.8	P	0.000244
261559_at	246.2	P	0.018555
261536_at	2401.7	P	0.000244
261537_at	1398.7	P	0.000244
261534_at	1004.2	P	0.000244
261538_at	179.5	P	0.000244
261539_at	78.9	P	0.008057
261652_at	529.5	P	0.00415
261653_at	212.3	P	0.01416
261627_at	1111.4	P	0.000244
261654_at	103.5	P	0.046143
261625_at	318.4	P	0.00415
261655_at	385.1	P	0.01416
261656_at	266.5	P	0.001953
261621_at	999.9	P	0.000244
261622_at	1075.7	P	0.000244
261623_at	7	A	0.932373
261626_at	357.5	P	0.010742
261624_at	130.4	P	0.00415
264169_at	399	P	0.005859
264175_at	77	A	0.080566
264167_at	113	M	0.056152
264151_at	27.1	A	0.533936
264168_at	1337.8	P	0.000244
264150_at	397	P	0.01416
264171_at	505	P	0.001221
264176_at	184.8	P	0.01416
264172_at	960.1	P	0.000244
264122_at	627.8	P	0.000244
264152_at	2843.2	P	0.000244
264177_at	3721.2	P	0.000244
264173_at	896.2	P	0.000244
264178_at	782.4	P	0.000244
264179_at	342.3	P	0.00415
264180_at	8.5	A	0.5
264147_at	404	P	0.023926
264146_at	732.9	P	0.000732
264148_at	58.8	P	0.01416
264174_s_at	55.2	A	0.334473
264149_at	42.5	A	0.246094
264170_at	489.8	P	0.000244
264123_at	1018	P	0.000244
264121_at	2547.9	P	0.000244
259441_at	636.6	P	0.000244
259416_at	1693.2	P	0.000244
259442_at	87.8	P	0.023926
259413_at	11.2	A	0.780518
259415_at	395.3	P	0.000244
259417_at	29.4	A	0.366211
259443_at	25.9	A	0.633789
259444_at	176.5	A	0.095215
259418_at	178.4	P	0.010742
259445_at	81.4	A	0.067627
259446_at	735.8	P	0.000244
259414_at	55.6	A	0.129639
259447_s_at	74.9	A	0.080566
260904_at	143.4	P	0.000732
260903_at	73.1	A	0.080566
260933_at	156.9	A	0.432373
260916_at	2287.3	P	0.000244
260911_at	6	A	0.919434
260913_at	4376.2	P	0.000244
260932_s_at	43.1	A	0.246094
260906_at	4.5	A	0.870361
260931_at	30.6	A	0.696289
260912_at	5556.5	P	0.000244
260907_at	73.2	A	0.303711
260908_at	8.7	A	0.633789
260930_at	168.4	A	0.149658
260914_at	303.7	P	0.023926
260915_at	159.9	P	0.001953
260909_at	21.1	A	0.633789
260929_at	205.2	P	0.01416
260910_at	283.5	P	0.00293
260917_at	86.9	A	0.149658
260905_at	54.6	A	0.5
260928_at	285.3	A	0.171387
262109_at	1189.2	P	0.000244
262108_at	144.2	A	0.149658
262107_at	242.3	P	0.001953
262117_at	10204	P	0.000244
262122_at	28.5	A	0.466064
262121_at	132.9	A	0.334473
262105_at	51.7	A	0.366211
262115_at	34.5	A	0.432373
262116_at	372.5	P	0.00415
262113_at	310.3	P	0.001221
262132_at	48.2	M	0.056152
262110_at	979.6	P	0.000244
262118_at	208.5	P	0.001953
262114_at	244.8	P	0.023926
262112_at	699.1	P	0.001953
262130_at	390.2	P	0.000732
262131_at	50.4	A	0.366211
262104_at	1130.4	P	0.00415
262119_s_at	3434.2	P	0.000244
262103_at	56	A	0.19458
262120_at	115.6	P	0.000244
262111_at	312.6	P	0.001221
262106_at	191.1	P	0.000732
262102_at	87.8	A	0.219482
263170_at	714.2	P	0.001221
263169_at	23.1	A	0.665527
263168_at	101.2	P	0.037598
263167_at	260	P	0.010742
263117_at	481.4	P	0.000732
263166_at	3.4	A	0.953857
