ID_REF	VALUE	ABS_CALL	Detection p-value
245016_at	1669.9	P	0.000244
261585_at	136.2	M	0.056152
261568_at	21.5	A	0.398926
261584_at	114.5	A	0.095215
261579_at	3476	P	0.001953
261569_at	92.1	P	0.018555
261576_at	247.3	P	0.005859
261577_at	942.1	P	0.000244
261583_at	4975.8	P	0.000244
261578_at	8922.2	P	0.000244
261580_at	4.4	A	0.888428
261570_at	304.7	P	0.000732
261575_at	13	A	0.696289
261581_at	1905.9	P	0.000732
261571_at	34.9	A	0.129639
261582_at	527.2	P	0.00293
261572_at	4005.8	P	0.000244
261573_at	13	A	0.696289
261574_at	31.8	A	0.533936
261042_at	3.2	A	0.753906
261043_at	853	P	0.001953
261025_at	135.9	A	0.080566
261057_at	1014.9	P	0.000244
261026_at	850.7	P	0.005859
261059_at	5.7	A	0.533936
261050_at	195.5	P	0.00415
261051_at	32.8	A	0.334473
261044_at	192.6	P	0.005859
261055_at	1415.9	P	0.000244
261045_at	3.8	A	0.991943
261053_at	4398.9	P	0.000244
261054_at	442.4	P	0.030273
261027_at	402.6	P	0.005859
261056_at	326.1	P	0.000732
261058_at	147.6	A	0.303711
257490_x_at	4.3	A	0.696289
261046_at	100.6	M	0.056152
261047_at	20.5	A	0.398926
261048_at	158.4	P	0.023926
261049_at	752.8	P	0.001953
261052_at	201.8	A	0.095215
259435_at	46.6	A	0.219482
259425_at	7.3	A	0.828613
259426_at	4448.9	P	0.000244
259439_at	7.9	A	0.466064
259434_at	2441.2	P	0.000732
259436_at	400.8	P	0.00415
259438_at	390.9	P	0.00293
259432_at	24	A	0.303711
259427_at	3.2	A	0.533936
259437_at	769.5	P	0.000244
259440_at	4722	P	0.000244
259428_at	492	P	0.000244
259433_at	24.5	A	0.5
259429_at	141.9	A	0.129639
259430_at	546.7	P	0.000244
259431_at	5093.5	P	0.000244
261563_at	794.8	P	0.00293
261586_at	72.8	A	0.19458
257484_at	791.8	P	0.001221
261587_at	57.9	A	0.27417
261588_at	113.6	P	0.01416
261589_at	66.2	A	0.432373
261590_at	72.2	A	0.246094
261560_at	417.6	P	0.001221
261564_at	237.9	P	0.008057
261535_at	83.9	P	0.018555
261561_at	837.2	P	0.000244
261591_at	225	A	0.067627
261562_at	5.1	A	0.80542
261592_at	6.1	A	0.943848
261558_at	346.8	P	0.001221
261559_at	83.3	P	0.037598
261536_at	1210.6	P	0.000244
261537_at	1836.6	P	0.000244
261534_at	1551.9	P	0.000244
261538_at	121.8	P	0.001221
261539_at	71.9	A	0.27417
261652_at	293.3	P	0.005859
261653_at	199.7	P	0.010742
261627_at	1390.8	P	0.000244
261654_at	170.8	P	0.01416
261625_at	233.4	P	0.000732
261655_at	403.8	P	0.00415
261656_at	248.1	P	0.018555
261621_at	807.6	P	0.000244
261622_at	580.4	P	0.000244
261623_at	9.3	A	0.888428
261626_at	191.7	A	0.080566
261624_at	155.5	P	0.008057
264169_at	193.3	P	0.01416
264175_at	84.9	A	0.111572
264167_at	58	P	0.01416
264151_at	65.5	M	0.056152
264168_at	1474	P	0.000244
264150_at	303.6	P	0.010742
264171_at	555.8	P	0.001953
264176_at	175.6	P	0.00293
264172_at	880.5	P	0.000732
264122_at	858.3	P	0.000244
264152_at	2328.1	P	0.000244
264177_at	2523.9	P	0.000244
264173_at	622.7	P	0.000244
264178_at	741.6	P	0.000244
264179_at	326.2	P	0.023926
264180_at	18.3	A	0.432373
264147_at	344.9	M	0.056152
264146_at	529.6	P	0.000732
264148_at	181.9	P	0.001221
264174_s_at	2.8	A	0.780518
264149_at	38.4	A	0.334473
264170_at	383.4	P	0.001221
264123_at	1015.2	P	0.000244
264121_at	2021.2	P	0.000244
259441_at	433.6	P	0.000244
259416_at	2843.6	P	0.000244
259442_at	126.9	P	0.037598
259413_at	2.7	A	0.780518
259415_at	294.8	P	0.000244
259417_at	4	A	0.850342
259443_at	85.2	P	0.01416
259444_at	146	A	0.149658
259418_at	177.1	P	0.000732
259445_at	118.1	A	0.067627
259446_at	789.3	P	0.000244
259414_at	82.1	A	0.129639
259447_s_at	101.8	P	0.046143
260904_at	775.8	P	0.001221
260903_at	170.6	P	0.030273
