ID_REF	VALUE	ABS_CALL	Detection p-value
245016_at	1844.4	P	0.000244
261585_at	184.2	M	0.056152
261568_at	73.9	A	0.567627
261584_at	351.3	P	0.018555
261579_at	2032.7	P	0.00293
261569_at	132.2	P	0.005859
261576_at	167.7	P	0.010742
261577_at	1870.6	P	0.000244
261583_at	3759.4	P	0.000244
261578_at	7121.3	P	0.000244
261580_at	12.5	A	0.665527
261570_at	377	P	0.00293
261575_at	12.7	A	0.567627
261581_at	1578.6	P	0.000732
261571_at	38.9	A	0.080566
261582_at	444.6	P	0.00293
261572_at	3025.9	P	0.000244
261573_at	60.7	A	0.219482
261574_at	67.4	A	0.533936
261042_at	30.9	A	0.533936
261043_at	705.5	P	0.000732
261025_at	221.7	M	0.056152
261057_at	1106.8	P	0.000244
261026_at	798	P	0.00415
261059_at	66.7	A	0.466064
261050_at	158.6	P	0.018555
261051_at	3.2	A	0.904785
261044_at	191.8	P	0.00293
261055_at	945.4	P	0.00293
261045_at	4.1	A	0.976074
261053_at	3071.7	P	0.000244
261054_at	434	P	0.00415
261027_at	331	P	0.005859
261056_at	402.1	P	0.000244
261058_at	153.5	A	0.171387
257490_x_at	25.7	A	0.334473
261046_at	67.6	A	0.171387
261047_at	54.8	A	0.27417
261048_at	95	P	0.046143
261049_at	738.7	P	0.001953
261052_at	182.3	P	0.023926
259435_at	80.7	A	0.27417
259425_at	8.2	A	0.919434
259426_at	4868.6	P	0.000244
259439_at	9.5	A	0.567627
259434_at	1578.8	P	0.000732
259436_at	476.9	P	0.000244
259438_at	395.6	P	0.001221
259432_at	39.6	M	0.056152
259427_at	60.6	A	0.129639
259437_at	951.6	P	0.000244
259440_at	3757.4	P	0.000244
259428_at	790.2	P	0.000244
259433_at	114.5	P	0.030273
259429_at	114.9	A	0.080566
259430_at	500.1	P	0.000244
259431_at	4241.2	P	0.000244
261563_at	1242.5	P	0.00293
261586_at	142.5	A	0.171387
257484_at	952.3	P	0.001221
261587_at	31.1	A	0.5
261588_at	217.1	A	0.303711
261589_at	118.7	A	0.095215
261590_at	15.3	A	0.753906
261560_at	449.7	P	0.000732
261564_at	255	P	0.01416
261535_at	265.7	P	0.00415
261561_at	668.1	P	0.000244
261591_at	232.9	P	0.00293
261562_at	4.4	A	0.888428
261592_at	9.9	A	0.850342
261558_at	272.1	P	0.000244
261559_at	169.6	P	0.018555
261536_at	1651.8	P	0.000244
261537_at	1478.4	P	0.000244
261534_at	1157.7	P	0.000244
261538_at	169.8	P	0.001953
261539_at	62.8	A	0.27417
261652_at	249	A	0.067627
261653_at	138	A	0.067627
261627_at	1166.8	P	0.000244
261654_at	121.8	P	0.008057
261625_at	231.1	P	0.001953
261655_at	258	P	0.00293
261656_at	190.2	P	0.001221
261621_at	974.4	P	0.000244
261622_at	739.1	P	0.001221
261623_at	4.9	A	0.919434
261626_at	272.7	A	0.067627
261624_at	158.2	P	0.01416
264169_at	360.8	P	0.008057
264175_at	51.9	A	0.567627
264167_at	92.5	A	0.067627
264151_at	71.1	A	0.171387
264168_at	1341	P	0.000244
