ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
257613_at	103.4	A	0.303711	60.652	N
257614_at	81.4	A	0.334473	80.788	N
261204_s_at	3772.8	P	0.000244	2568.497	N
257548_s_at	32.0	A	0.601074	30.833	N
257827_at	186.1	P	0.000244	306.378	N
257833_at	239.5	P	0.0058590000000000005	230.064	N
257807_at	28567.4	P	0.000244	23751.826	N
257828_at	354.4	P	0.000244	371.251	N
257829_at	88.3	P	0.008057	106.649	N
257830_at	76.9	A	0.06762699999999999	60.057	N
257825_at	118.5	A	0.095215	205.464	N
257831_at	3640.6	P	0.000244	3096.656	N
257834_at	1067.6	P	0.001221	706.445	N
257826_at	719.4	P	0.000244	972.635	N
257832_at	19211.3	P	0.000244	13814.853	N
258310_at	1240.4	P	0.001221	1108.729	N
258283_at	121.0	P	0.000244	206.06	N
258253_at	120.8	P	0.001221	155.523	N
258257_at	74.9	A	0.14965799999999999	57.252	N
258254_at	79.3	A	0.46606400000000003	133.402	N
258258_at	68.3	A	0.219482	61.291	N
258255_at	88.6	A	0.080566	87.436	N
258311_at	604.1	P	0.00415	590.278	N
258277_at	653.5	P	0.010742	146.297	Y
258259_s_at	98.3	P	0.010742	82.552	N
258260_at	60.1	M	0.056152	97.339	N
258278_at	1.4	A	0.9970700000000001	NO DATA	N
258279_at	2.7	A	0.6655270000000001	26.762	N
258280_at	49.0	A	0.111572	33.714	N
258256_at	768.1	P	0.000244	815.315	N
258281_at	1079.7	P	0.000732	1311.684	N
258282_at	273.5	A	0.111572	157.159	N
257013_at	6.5	A	0.870361	80.222	N
257014_at	20.8	A	0.398926	58.377	N
256980_at	102.9	P	0.0058590000000000005	106.295	N
257779_at	51.8	A	0.19458	88.519	N
257783_at	379.8	P	0.00415	585.101	N
257793_at	595.7	P	0.000244	833.174	N
257784_at	454.8	P	0.001221	382.432	N
257785_at	251.1	P	0.00293	252.026	N
257786_at	215.9	P	0.008057	292.357	N
257787_at	204.0	A	0.567627	188.382	N
257788_at	84.6	A	0.14965799999999999	125.023	N
257789_at	1120.7	P	0.000244	1451.219	N
257794_at	804.5	P	0.000244	1329.231	N
257809_at	1975.1	P	0.000244	2353.966	N
257810_at	35.9	A	0.398926	29.103	N
257792_at	541.8	P	0.000244	1159.601	N
257790_at	2632.0	P	0.000244	3188.611	N
257780_at	121.4	P	0.001953	190.183	N
257791_at	538.5	P	0.000244	630.497	N
257781_at	12.8	A	0.5	48.904	N
257782_at	45.4	A	0.696289	45.273	N
256750_at	16.9	A	0.8286129999999999	46.641	N
256753_at	3477.4	P	0.000244	3958.88	N
256751_at	51.5	A	0.303711	65.842	N
256752_at	626.3	P	0.001953	707.012	N
257174_at	214.7	A	0.111572	231.618	N
257151_at	257.1	P	0.030273	358.751	N
257154_at	276.8	P	0.000244	312.379	N
257153_at	31.6	A	0.219482	91.534	N
257150_at	1408.7	P	0.000732	694.42	N
257148_at	2172.8	P	0.000244	2196.845	N
257146_at	680.0	P	0.000244	591.62	N
257147_at	128.5	A	0.398926	117.888	N
257149_at	527.0	P	0.001221	529.905	N
257155_at	83.8	A	0.129639	69.51	N
257144_at	843.9	P	0.000244	1011.608	N
257152_at	385.0	P	0.018555000000000002	461.461	N
257145_at	374.2	P	0.00415	416.264	N
257709_at	336.3	P	0.018555000000000002	282.875	N
257740_at	76.8	A	0.398926	57.226	N
257741_at	173.8	P	0.018555000000000002	164.448	N
257710_at	143.8	P	0.008057	214.832	N
257714_at	514.8	P	0.000244	407.78	N
257742_at	29.5	A	0.398926	7.605	N
257713_at	2649.8	P	0.000244	1568.884	N
257743_at	573.8	P	0.001221	706.563	N
257735_at	177.7	P	0.046143	148.02	N
257736_at	64.9	A	0.366211	55.751	N
257712_at	214.3	P	0.018555000000000002	338.105	N
257711_at	1620.7	P	0.000244	1817.43	N
257737_at	90.9	A	0.129639	31.802	N
257738_at	46.2	A	0.334473	55.667	N
257739_at	102.5	P	0.00415	179.378	N
258028_at	7.9	A	0.780518	25.452	N
258031_s_at	8.5	A	0.72583	7.424	N
257997_at	4.4	A	0.780518	21.929	N
257998_at	2.7	A	0.9438479999999999	29.088	N
257969_at	104.5	A	0.27416999999999997	154.187	N
257971_at	215.1	P	0.001953	263.306	N
257999_at	304.6	P	0.000732	583.682	N
257968_at	65.8	P	0.046143	52.292	N
257972_at	204.7	P	0.000244	426.194	N
257970_at	1202.0	P	0.000244	727.796	N
258029_at	209.9	P	0.000244	128.509	N
258030_at	12.6	A	0.969727	14.303	N
258228_at	191.3	P	0.000244	216.968	N
258235_at	23.9	A	0.6655270000000001	55.469	N
258242_at	153.7	P	0.018555000000000002	119.438	N
258241_at	11.1	A	0.9047850000000001	61.465	N
258240_at	36.5	A	0.6655270000000001	25.476	N
258238_at	205.2	P	0.00415	261.791	N
258239_at	14257.4	P	0.000244	17613.943	N
258229_at	438.0	P	0.00415	331.293	N
258230_s_at	21.0	A	0.46606400000000003	38.419	N
258231_at	43.7	A	0.696289	31.461	N
258243_at	1247.5	P	0.001953	2059.578	N
258232_at	318.8	P	0.046143	319.865	N
258244_at	2312.0	P	0.000732	2822.229	N
258233_at	55.6	A	0.46606400000000003	70.316	N
258234_at	17.4	A	0.7539060000000001	19.042	N
258236_at	5.0	A	0.919434	24.819	N
258237_at	20.4	A	0.633789	18.31	N
257220_at	6.0	A	0.9814450000000001	4.585	N
257227_at	1532.0	P	0.000732	2733.357	N
257223_at	97.5	A	0.080566	56.96	N
257225_s_at	14106.4	P	0.000244	14944.841	N
257224_at	139.5	P	0.00293	275.882	N
257226_at	151.8	P	0.010742	201.33	N
257228_at	1838.8	P	0.000244	1199.306	N
257221_at	4.5	A	0.696289	49.054	N
257222_at	3937.9	P	0.000732	3116.805	N
256851_at	177.8	P	0.000732	294.465	N
256847_at	28.5	A	0.27416999999999997	53.13	N
256848_at	114.6	P	0.008057	169.532	N
256846_at	0.9	A	0.976074	13.29	N
256849_at	27.9	A	0.43237299999999995	19.296	N
256850_at	75.0	A	0.334473	34.145	N
257271_at	243.2	P	0.037598	171.215	N
257296_at	116.7	A	0.17138699999999998	88.591	N
257273_at	81.4	A	0.5	121.684	N
257297_at	1390.4	P	0.000244	1670.464	N
257299_at	1387.9	P	0.000244	1023.72	N
257300_at	408.7	P	0.000244	391.789	N
257556_at	131.7	P	0.037598	137.217	N
257308_at	14.2	A	0.6655270000000001	9.834	N
257272_at	449.5	P	0.000244	548.743	N
257270_at	239.5	P	0.000732	217.408	N
257309_at	69.7	P	0.023926	73.347	N
257298_at	2.7	A	0.780518	29.758	N
257068_at	2.4	A	0.850342	15.603	N
257069_at	45.3	A	0.095215	42.684	N
257071_at	2488.2	P	0.000244	2184.308	N
257070_at	5.0	A	0.919434	12.419	N
256578_at	396.4	P	0.001953	574.989	N
256576_at	12.4	A	0.398926	38.37	N
256577_at	231.0	P	0.001221	838.853	Y
256630_at	33.7	A	0.06762699999999999	54.359	N
256634_s_at	4.4	A	0.9438479999999999	10.36	N
256635_at	1.7	A	0.999268	12.344	N
256603_at	38.7	A	0.334473	46.508	N
257576_at	12.0	A	0.8884280000000001	4.585	N
256601_s_at	600.4	P	0.00415	992.337	N
256602_at	65.0	A	0.17138699999999998	91.241	N
256631_at	37.5	A	0.366211	53.942	N
256632_at	132.2	A	0.14965799999999999	105.745	N
256633_at	247.0	P	0.037598	176.467	N
257899_at	44.6	A	0.27416999999999997	36.623	N
257871_at	12.2	A	0.633789	18.621	N
257872_at	20.8	A	0.246094	5.986	N
257873_at	2.7	A	0.976074	5.744	N
257842_at	16.1	A	0.398926	37.137	N
257843_at	3.3	A	0.850342	32.973	N
257546_s_at	3.4	A	0.7539060000000001	14.678	N
257900_at	64.8	A	0.398926	104.53	N
257845_at	65.2	A	0.303711	137.161	N
257901_at	67.2	A	0.219482	31.973	N
257902_at	638.5	P	0.001221	643.801	N
257903_at	641.6	P	0.001953	978.442	N
257904_at	71.7	A	0.27416999999999997	49.583	N
257844_at	1210.6	P	0.000732	620.49	Y
257870_at	26.7	A	0.303711	16.559	N
256597_at	253.3	A	0.06762699999999999	165.96	N
256593_at	162.9	P	0.008057	22.071	Y
256594_at	76.9	A	0.219482	22.308	N
256595_x_at	161.8	P	0.001953	154.423	N
256596_at	780.4	P	0.010742	292.947	Y
257041_at	14.2	A	0.789063	5.535	N
256987_at	5.2	A	0.633789	16.492	N
256989_at	34.9	A	0.246094	16.661	Y
256990_at	23.8	A	0.5	102.179	N
256991_at	14.4	A	0.601074	35.047	N
257564_at	107.7	A	0.27416999999999997	53.648	N
257565_at	4.9	A	0.366211	24.758	N
