ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
245016_at	2764.2	P	0.000244	3135.131	N
261585_at	19.2	A	0.366211	51.714	N
261568_at	33.5	A	0.43237299999999995	21.927	N
261584_at	237.8	P	0.037598	230.626	N
261579_at	2723.3	P	0.000732	1861.472	N
261569_at	125.1	P	0.000732	169.541	N
261576_at	186.2	P	0.008057	173.86	N
261577_at	1931.5	P	0.000244	2029.373	N
261583_at	5430.8	P	0.000244	4631.705	N
261578_at	7188.8	P	0.000244	6505.462	N
261580_at	4.9	A	0.8884280000000001	18.536	N
261570_at	494.6	P	0.001221	548.033	N
261575_at	16.5	A	0.533936	39.361	N
261581_at	1276.1	P	0.000732	1100.428	N
261571_at	17.4	A	0.27416999999999997	33.936	N
261582_at	504.7	P	0.001221	409.242	N
261572_at	5047.3	P	0.000244	3350.009	N
261573_at	78.2	A	0.111572	58.007	N
261574_at	84.0	A	0.398926	117.228	N
261042_at	44.6	A	0.601074	57.737	N
261043_at	714.7	P	0.001221	703.878	N
261025_at	98.3	P	0.046143	180.979	N
261057_at	904.1	P	0.000244	1038.983	N
261026_at	926.7	P	0.014159999999999999	1009.133	N
261059_at	91.8	A	0.219482	111.529	N
261050_at	112.2	P	0.010742	223.082	N
261051_at	3.9	A	0.780518	6.59	N
261044_at	283.6	P	0.001221	154.219	N
261055_at	1416.1	P	0.000732	1047.251	N
261045_at	3.9	A	0.9858399999999999	4.444	N
261053_at	3228.2	P	0.000244	2684.772	N
261054_at	345.3	P	0.001221	374.178	N
261027_at	128.5	P	0.037598	57.882	Y
261056_at	347.7	P	0.000244	319.372	N
261058_at	102.9	A	0.17138699999999998	100.85	N
257490_x_at	30.7	A	0.111572	38.29	N
261046_at	63.7	P	0.018555000000000002	74.942	N
261047_at	15.8	A	0.27416999999999997	35.361	N
261048_at	161.1	P	0.018555000000000002	106.489	N
261049_at	729.1	P	0.000732	1023.63	N
261052_at	200.6	P	0.018555000000000002	138.901	N
259435_at	45.7	A	0.27416999999999997	55.685	N
259425_at	11.6	A	0.850342	5.163	N
259426_at	5193.4	P	0.000244	5589.328	N
259439_at	14.2	A	0.46606400000000003	8.509	N
259434_at	1739.4	P	0.000732	1944.696	N
259436_at	530.7	P	0.000244	579.891	N
259438_at	435.8	P	0.000244	478.096	N
259432_at	3.1	A	0.72583	30.779	N
259427_at	34.7	A	0.19458	27.847	N
259437_at	488.6	P	0.000732	841.812	N
