ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
245016_at	1844.4	P	0.000244	3512.25	N
261585_at	184.2	M	0.056152	57.935	N
261568_at	73.9	A	0.567627	24.565	N
261584_at	351.3	P	0.018555000000000002	258.368	N
261579_at	2032.7	P	0.00293	2085.385	N
261569_at	132.2	P	0.0058590000000000005	189.935	N
261576_at	167.7	P	0.010742	194.773	N
261577_at	1870.6	P	0.000244	2273.482	N
261583_at	3759.4	P	0.000244	5188.844	N
261578_at	7121.3	P	0.000244	7287.993	N
261580_at	12.5	A	0.6655270000000001	20.766	N
261570_at	377.0	P	0.00293	613.955	N
261575_at	12.7	A	0.567627	44.095	N
261581_at	1578.6	P	0.000732	1232.797	N
261571_at	38.9	A	0.080566	38.018	N
261582_at	444.6	P	0.00293	458.469	N
261572_at	3025.9	P	0.000244	3752.975	N
261573_at	60.7	A	0.219482	64.984	N
261574_at	67.4	A	0.533936	131.329	N
261042_at	30.9	A	0.533936	64.682	N
261043_at	705.5	P	0.000732	788.546	N
261025_at	221.7	M	0.056152	202.748	N
261057_at	1106.8	P	0.000244	1163.96	N
261026_at	798.0	P	0.00415	1130.52	N
261059_at	66.7	A	0.46606400000000003	124.944	N
261050_at	158.6	P	0.018555000000000002	249.916	N
261051_at	3.2	A	0.9047850000000001	7.383	N
261044_at	191.8	P	0.00293	172.769	N
261055_at	945.4	P	0.00293	1173.223	N
261045_at	4.1	A	0.976074	4.978	N
261053_at	3071.7	P	0.000244	3007.719	N
261054_at	434.0	P	0.00415	419.187	N
261027_at	331.0	P	0.0058590000000000005	64.845	Y
261056_at	402.1	P	0.000244	357.789	N
261058_at	153.5	A	0.17138699999999998	112.981	N
257490_x_at	25.7	A	0.334473	42.896	N
261046_at	67.6	A	0.17138699999999998	83.957	N
261047_at	54.8	A	0.27416999999999997	39.614	N
261048_at	95.0	P	0.046143	119.298	N
261049_at	738.7	P	0.001953	1146.761	N
261052_at	182.3	P	0.023926	155.609	N
259435_at	80.7	A	0.27416999999999997	62.384	N
259425_at	8.2	A	0.919434	5.784	N
259426_at	4868.6	P	0.000244	6261.657	N
259439_at	9.5	A	0.567627	9.533	N
259434_at	1578.8	P	0.000732	2178.62	N
259436_at	476.9	P	0.000244	649.645	N
259438_at	395.6	P	0.001221	535.605	N
259432_at	39.6	M	0.056152	34.481	N
259427_at	60.6	A	0.129639	31.197	N
259437_at	951.6	P	0.000244	943.072	N
259440_at	3757.4	P	0.000244	3619.857	N
259428_at	790.2	P	0.000244	227.929	Y
259433_at	114.5	P	0.030273	79.995	N
259429_at	114.9	A	0.080566	137.146	N
259430_at	500.1	P	0.000244	592.41	N
259431_at	4241.2	P	0.000244	6332.946	N
261563_at	1242.5	P	0.00293	1351.543	N
261586_at	142.5	A	0.17138699999999998	79.541	N
257484_at	952.3	P	0.001221	949.403	N
261587_at	31.1	A	0.5	81.018	N
261588_at	217.1	A	0.303711	103.257	N
261589_at	118.7	A	0.095215	83.969	N
261590_at	15.3	A	0.7539060000000001	30.223	N
261560_at	449.7	P	0.000732	498.035	N
261564_at	255.0	P	0.014159999999999999	172.7	N
261535_at	265.7	P	0.00415	253.394	N
261561_at	668.1	P	0.000244	434.03	N
261591_at	232.9	P	0.00293	288.279	N
261562_at	4.4	A	0.8884280000000001	13.411	N
261592_at	9.9	A	0.850342	10.304	N
261558_at	272.1	P	0.000244	329.389	N
261559_at	169.6	P	0.018555000000000002	197.733	N
261536_at	1651.8	P	0.000244	2429.27	N
261537_at	1478.4	P	0.000244	1286.453	N
261534_at	1157.7	P	0.000244	1100.481	N
261538_at	169.8	P	0.001953	154.578	N
261539_at	62.8	A	0.27416999999999997	97.151	N
261652_at	249.0	A	0.06762699999999999	496.62	N
261653_at	138.0	A	0.06762699999999999	213.603	N
261627_at	1166.8	P	0.000244	1145.849	N
261654_at	121.8	P	0.008057	123.589	N
261625_at	231.1	P	0.001953	266.85	N
261655_at	258.0	P	0.00293	414.78	N
261656_at	190.2	P	0.001221	221.569	N
261621_at	974.4	P	0.000244	1012.284	N
261622_at	739.1	P	0.001221	939.816	N
261623_at	4.9	A	0.919434	7.713	N
261626_at	272.7	A	0.06762699999999999	314.932	N
261624_at	158.2	P	0.014159999999999999	197.999	N
264169_at	360.8	P	0.008057	271.32	N
264175_at	51.9	A	0.567627	44.734	N
264167_at	92.5	A	0.06762699999999999	58.151	N
264151_at	71.1	A	0.17138699999999998	51.27	N
264168_at	1341.0	P	0.000244	1262.573	N
264150_at	337.8	P	0.023926	352.843	N
264171_at	554.1	P	0.001221	366.609	N
264176_at	182.8	P	0.008057	203.535	N
