ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
245016_at	2941.1	P	0.000244	3,294.71	N
261585_at	106.1	A	0.129639	54.347	N
261568_at	46.5	A	0.398926	23.044	N
261584_at	322.0	P	0.018555000000000002	242.365	N
261579_at	2371.5	P	0.001221	1,956.22	N
261569_at	90.6	P	0.037598	178.171	N
261576_at	129.9	P	0.037598	182.709	N
261577_at	2265.6	P	0.000244	2,132.67	N
261583_at	4025.4	P	0.000244	4,867.46	N
261578_at	7482.2	P	0.000244	6,836.59	N
261580_at	5.8	A	0.696289	19.48	N
261570_at	545.5	P	0.000732	575.928	N
261575_at	39.8	A	0.334473	41.364	N
261581_at	1520.3	P	0.000732	1,156.44	N
261571_at	40.8	M	0.056152	35.664	N
261582_at	496.6	P	0.000732	430.072	N
261572_at	3213.3	P	0.000244	3,520.53	N
261573_at	60.6	P	0.030273	60.959	N
261574_at	136.9	A	0.219482	123.195	N
261042_at	28.2	A	0.567627	60.675	N
261043_at	742.2	P	0.000244	739.706	N
261025_at	230.9	P	0.046143	190.191	N
261057_at	958.1	P	0.000244	1,091.87	N
261026_at	648.0	P	0.010742	1,060.50	N
261059_at	38.5	A	0.567627	117.205	N
261050_at	191.6	P	0.00415	234.437	N
261051_at	3.8	A	0.8884280000000001	6.925	N
261044_at	201.7	P	0.001221	162.068	N
261055_at	1217.6	P	0.000732	1,100.56	N
261045_at	3.4	A	0.9941409999999999	4.67	N
261053_at	3346.1	P	0.000244	2,821.43	N
261054_at	366.6	P	0.001953	393.224	N
261027_at	197.4	P	0.023926	60.828	Y
261056_at	234.0	P	0.000244	335.629	N
261058_at	109.0	A	0.43237299999999995	105.983	N
257490_x_at	6.6	A	0.246094	40.239	N
261046_at	66.0	A	0.111572	78.757	N
261047_at	8.8	A	0.601074	37.16	N
261048_at	113.2	P	0.0058590000000000005	111.909	N
261049_at	792.6	P	0.001221	1,075.73	N
261052_at	175.2	P	0.018555000000000002	145.971	N
259435_at	97.0	A	0.14965799999999999	58.52	N
259425_at	5.2	A	0.850342	5.426	N
259426_at	5315.8	P	0.000244	5,873.83	N
259439_at	4.6	A	0.6655270000000001	8.942	N
259434_at	1520.8	P	0.000732	2,043.68	N
259436_at	675.6	P	0.000244	609.408	N
259438_at	448.7	P	0.000732	502.431	N
259432_at	11.5	A	0.696289	32.346	N
259427_at	32.7	A	0.303711	29.265	N
259437_at	770.0	P	0.000244	884.661	N
259440_at	3572.9	P	0.000244	3,395.65	N
259428_at	490.7	P	0.00293	213.811	Y
259433_at	78.7	A	0.246094	75.04	N
259429_at	149.3	P	0.046143	128.651	N
259430_at	579.1	P	0.000244	555.718	N
259431_at	4167.8	P	0.000244	5,940.70	N
261563_at	1418.4	P	0.001221	1,267.83	N
261586_at	78.4	A	0.19458	74.615	N
257484_at	900.6	P	0.001221	890.599	N
261587_at	75.6	A	0.398926	76	N
261588_at	125.4	P	0.018555000000000002	96.861	N
261589_at	84.7	A	0.14965799999999999	78.768	N
261590_at	31.2	A	0.567627	28.351	N
261560_at	415.1	P	0.000244	467.188	N
261564_at	148.1	P	0.010742	162.004	N
261535_at	217.1	P	0.00415	237.7	N
261561_at	517.1	P	0.000244	407.147	N
261591_at	261.5	P	0.001221	270.423	N
261562_at	18.8	A	0.5	12.581	N
261592_at	7.7	A	0.9047850000000001	9.665	N
261558_at	296.4	P	0.000244	308.987	N
261559_at	170.3	P	0.014159999999999999	185.486	N
261536_at	1758.4	P	0.000244	2,278.81	N
261537_at	1423.0	P	0.000244	1,206.77	N
261534_at	1202.1	P	0.000244	1,032.32	N
261538_at	143.4	P	0.000244	145.003	N
261539_at	69.1	A	0.129639	91.134	N
261652_at	321.6	P	0.008057	465.86	N
261653_at	204.3	P	0.010742	200.373	N
261627_at	1062.3	P	0.000244	1,074.88	N
261654_at	116.0	P	0.014159999999999999	115.934	N
261625_at	311.5	P	0.001953	250.322	N
261655_at	301.0	P	0.001953	389.09	N
261656_at	191.2	P	0.00293	207.845	N
261621_at	1032.4	P	0.000244	949.585	N
261622_at	878.4	P	0.000244	881.606	N
261623_at	2.6	A	0.9624020000000001	7.236	N
261626_at	273.8	P	0.018555000000000002	295.426	N
261624_at	101.1	A	0.06762699999999999	185.735	N
264169_at	274.8	P	0.008057	254.515	N
264175_at	8.1	A	0.6655270000000001	41.963	N
264167_at	36.6	A	0.303711	54.55	N
264151_at	49.6	A	0.303711	48.094	N
264168_at	1316.6	P	0.000244	1,184.37	N
264150_at	404.1	P	0.00293	330.989	N
264171_at	403.9	P	0.001953	343.903	N
264176_at	193.7	P	0.0058590000000000005	190.929	N
264172_at	963.3	P	0.000244	825.407	N
264122_at	573.6	P	0.000244	669.479	N
264152_at	2691.4	P	0.000244	2,681.17	N
264177_at	2904.0	P	0.000244	3,175.33	N
264173_at	950.1	P	0.000244	1,004.41	N
264178_at	902.1	P	0.000244	674.003	N
264179_at	284.1	P	0.0058590000000000005	325.09	N
264180_at	2.0	A	0.46606400000000003	30.747	N
264147_at	259.6	A	0.080566	388.22	N
264146_at	536.8	P	0.000244	704.443	N
264148_at	69.8	P	0.037598	39.321	Y
264174_s_at	55.9	A	0.219482	51.069	N
264149_at	85.6	P	0.037598	55.401	N
264170_at	481.0	P	0.000244	417.704	N
264123_at	1152.3	P	0.000244	1,005.00	N
264121_at	2254.5	P	0.000244	2,274.27	N
259441_at	487.4	P	0.000244	523.309	N
259416_at	1932.9	P	0.000244	1,812.71	N
259442_at	75.0	A	0.14965799999999999	73.883	N
259413_at	1.9	A	0.9438479999999999	16.875	N
259415_at	467.1	P	0.000244	455.929	N
259417_at	15.7	A	0.6655270000000001	40.197	N
259443_at	133.6	A	0.17138699999999998	18.796	N
259444_at	110.0	A	0.06762699999999999	145.379	N
259418_at	174.4	P	0.001953	117.057	N
259445_at	89.7	A	0.129639	97.247	N
259446_at	796.7	P	0.000244	706.18	N
259414_at	46.5	A	0.14965799999999999	69.671	N
