ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
245016_at	1526.1	P	0.000244	3264.601	N
261585_at	77.0	P	0.037598	53.85	N
261568_at	50.8	A	0.398926	22.833	N
261584_at	323.5	P	0.018555000000000002	240.15	N
261579_at	2327.9	P	0.000732	1938.344	N
261569_at	170.6	P	0.00415	176.543	N
261576_at	224.3	P	0.001953	181.04	N
261577_at	1917.0	P	0.000244	2113.179	N
261583_at	3685.3	P	0.000244	4822.978	N
261578_at	7332.9	P	0.000244	6774.116	N
261580_at	3.3	A	0.567627	19.302	N
261570_at	829.2	P	0.001221	570.665	N
261575_at	6.3	A	0.780518	40.986	N
261581_at	1535.6	P	0.000732	1145.872	N
261571_at	30.1	A	0.080566	35.338	N
261582_at	501.7	P	0.000732	426.142	N
261572_at	3552.1	P	0.000244	3488.352	N
261573_at	80.6	A	0.19458	60.402	N
261574_at	45.5	A	0.43237299999999995	122.069	N
261042_at	12.4	A	0.6655270000000001	60.121	N
261043_at	704.7	P	0.000732	732.946	N
261025_at	154.3	M	0.056152	188.453	N
261057_at	1001.0	P	0.000244	1081.889	N
261026_at	699.1	P	0.008057	1050.807	N
261059_at	20.0	A	0.46606400000000003	116.134	N
261050_at	233.7	P	0.00293	232.295	N
261051_at	1.5	A	0.953857	6.862	N
261044_at	227.6	P	0.001953	160.587	N
261055_at	1167.2	P	0.000244	1090.499	N
261045_at	2.2	A	0.969727	4.627	N
261053_at	2703.2	P	0.000244	2795.644	N
261054_at	337.1	P	0.00293	389.63	N
261027_at	326.6	P	0.00415	60.272	Y
261056_at	380.6	P	0.000244	332.561	N
261058_at	105.5	A	0.219482	105.015	N
257490_x_at	23.7	A	0.14965799999999999	39.871	N
261046_at	73.3	A	0.080566	78.037	N
261047_at	2.2	A	0.633789	36.821	N
261048_at	120.7	P	0.023926	110.887	N
261049_at	711.9	P	0.000732	1065.903	N
261052_at	215.4	P	0.023926	144.637	N
259435_at	63.8	A	0.111572	57.985	N
259425_at	3.8	A	0.870361	5.376	N
259426_at	5635.1	P	0.000244	5820.147	N
259439_at	87.0	A	0.366211	8.86	N
259434_at	1676.1	P	0.000732	2025.006	N
259436_at	542.4	P	0.000244	603.839	N
259438_at	519.9	P	0.000732	497.84	N
259432_at	23.0	A	0.27416999999999997	32.05	N
259427_at	5.1	A	0.43237299999999995	28.997	N
259437_at	917.5	P	0.000244	876.576	N
259440_at	3730.9	P	0.000244	3364.62	N
259428_at	659.9	P	0.000244	211.857	Y
259433_at	78.7	A	0.219482	74.354	N
259429_at	108.1	A	0.080566	127.476	N
259430_at	520.2	P	0.000244	550.639	N
259431_at	4525.4	P	0.000244	5886.41	N
261563_at	1419.2	P	0.001221	1256.246	N
261586_at	112.1	A	0.129639	73.933	N
257484_at	910.4	P	0.001221	882.461	N
261587_at	66.2	A	0.366211	75.306	N
261588_at	152.5	P	0.037598	95.976	N
261589_at	91.2	A	0.129639	78.048	N
261590_at	29.7	A	0.533936	28.092	N
261560_at	477.6	P	0.000244	462.919	N
261564_at	226.1	P	0.001221	160.523	N
261535_at	244.8	P	0.000732	235.527	N
261561_at	621.0	P	0.000244	403.426	N
261591_at	197.5	P	0.001953	267.952	N
261562_at	4.8	A	0.6655270000000001	12.466	N
261592_at	9.0	A	0.9047850000000001	9.577	N
261558_at	273.5	P	0.000244	306.164	N
261559_at	185.7	P	0.023926	183.791	N
261536_at	1529.4	P	0.000244	2257.982	N
261537_at	1391.8	P	0.000244	1195.745	N
261534_at	1051.2	P	0.000244	1022.886	N
261538_at	168.4	P	0.000244	143.678	N
261539_at	66.6	A	0.17138699999999998	90.301	N
261652_at	358.0	P	0.018555000000000002	461.603	N
261653_at	189.3	P	0.010742	198.541	N
261627_at	1050.9	P	0.000244	1065.055	N
261654_at	104.9	P	0.014159999999999999	114.875	N
261625_at	286.5	P	0.00293	248.034	N
261655_at	319.0	P	0.001221	385.534	N
261656_at	137.5	P	0.001221	205.946	N
261621_at	940.7	P	0.000244	940.907	N
261622_at	799.3	P	0.000244	873.55	N
261623_at	7.2	A	0.850342	7.169	N
261626_at	218.2	P	0.046143	292.727	N
261624_at	140.5	P	0.008057	184.038	N
264169_at	384.2	P	0.010742	252.189	N
264175_at	11.9	A	0.633789	41.58	N
264167_at	68.4	M	0.056152	54.051	N
264151_at	56.1	A	0.17138699999999998	47.655	N
264168_at	1221.1	P	0.000244	1173.549	N
264150_at	318.0	P	0.014159999999999999	327.964	N
264171_at	430.9	P	0.000732	340.76	N
264176_at	202.1	P	0.018555000000000002	189.184	N
264172_at	1053.1	P	0.000732	817.864	N
264122_at	596.5	P	0.000244	663.361	N
