ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
245016_at	1706.2	P	0.000244	3366.219	N
261585_at	18.1	A	0.334473	55.526	N
261568_at	34.2	A	0.43237299999999995	23.544	N
261584_at	274.7	P	0.037598	247.625	N
261579_at	2573.0	P	0.000732	1998.68	N
261569_at	95.0	P	0.014159999999999999	182.038	N
261576_at	129.7	P	0.010742	186.675	N
261577_at	2128.0	P	0.000244	2178.957	N
261583_at	4383.2	P	0.000244	4973.105	N
261578_at	7167.7	P	0.000244	6984.977	N
261580_at	12.7	A	0.6655270000000001	19.903	N
261570_at	458.5	P	0.001221	588.428	N
261575_at	8.3	A	0.601074	42.262	N
261581_at	1630.0	P	0.000732	1181.54	N
261571_at	42.8	P	0.023926	36.438	N
261582_at	469.8	P	0.00293	439.407	N
261572_at	3465.6	P	0.000244	3596.936	N
261573_at	56.4	A	0.111572	62.282	N
261574_at	130.3	A	0.27416999999999997	125.868	N
261042_at	10.5	A	0.601074	61.992	N
261043_at	773.9	P	0.001221	755.761	N
261025_at	153.6	P	0.046143	194.319	N
261057_at	1148.4	P	0.000244	1115.565	N
261026_at	884.8	P	0.018555000000000002	1083.516	N
261059_at	63.9	A	0.366211	119.749	N
261050_at	218.4	P	0.00415	239.525	N
261051_at	2.7	A	0.919434	7.076	N
261044_at	180.6	P	0.00293	165.586	N
261055_at	1318.7	P	0.000244	1124.443	N
261045_at	4.8	A	0.953857	4.771	N
261053_at	3281.7	P	0.000244	2882.666	N
261054_at	481.5	P	0.001221	401.758	N
261027_at	224.6	P	0.014159999999999999	62.149	Y
261056_at	292.4	P	0.000244	342.913	N
261058_at	130.6	A	0.19458	108.284	N
257490_x_at	29.1	P	0.010742	41.112	N
261046_at	71.0	A	0.14965799999999999	80.466	N
261047_at	30.9	A	0.17138699999999998	37.967	N
261048_at	151.5	P	0.001953	114.338	N
261049_at	838.5	P	0.000732	1099.082	N
261052_at	197.1	P	0.023926	149.139	N
259435_at	60.6	A	0.19458	59.79	N
259425_at	8.2	A	0.870361	5.543	N
259426_at	5324.3	P	0.000244	6001.314	N
259439_at	6.9	A	0.72583	9.136	N
259434_at	1691.6	P	0.000732	2088.039	N
259436_at	516.2	P	0.000732	622.635	N
259438_at	459.5	P	0.000244	513.336	N
259432_at	4.5	A	0.780518	33.048	N
259427_at	29.8	A	0.334473	29.9	N
259437_at	584.7	P	0.000732	903.862	N
259440_at	3641.2	P	0.000732	3469.353	N
259428_at	553.7	P	0.001221	218.452	Y
259433_at	45.9	A	0.19458	76.669	N
259429_at	141.1	M	0.056152	131.444	N
259430_at	581.3	P	0.000244	567.779	N
259431_at	4615.9	P	0.000244	6069.639	N
261563_at	1404.8	P	0.001221	1295.35	N
261586_at	25.4	A	0.219482	76.234	N
257484_at	840.4	P	0.001221	909.929	N
261587_at	61.9	A	0.334473	77.65	N
261588_at	158.4	A	0.095215	98.964	N
261589_at	78.9	A	0.17138699999999998	80.478	N
261590_at	6.1	A	0.850342	28.967	N
261560_at	391.6	P	0.001221	477.328	N
261564_at	187.8	P	0.001953	165.52	N
261535_at	234.4	P	0.00415	242.859	N
261561_at	509.9	P	0.000244	415.984	N
261591_at	288.3	P	0.0058590000000000005	276.293	N
261562_at	11.0	A	0.633789	12.854	N
261592_at	7.4	A	0.850342	9.875	N
261558_at	263.8	P	0.00293	315.694	N
261559_at	127.0	P	0.018555000000000002	189.512	N
261536_at	1717.8	P	0.000244	2328.267	N
261537_at	1203.4	P	0.000244	1232.965	N
261534_at	1269.8	P	0.000244	1054.726	N
261538_at	122.1	P	0.00415	148.151	N
261539_at	69.1	A	0.219482	93.112	N
261652_at	274.2	P	0.023926	475.972	N
261653_at	249.8	P	0.0058590000000000005	204.722	N
261627_at	1197.7	P	0.000244	1098.208	N
261654_at	81.6	A	0.06762699999999999	118.45	N
261625_at	206.4	P	0.001953	255.755	N
261655_at	342.6	P	0.0058590000000000005	397.535	N
261656_at	219.4	P	0.014159999999999999	212.357	N
261621_at	1079.9	P	0.000244	970.195	N
261622_at	974.9	P	0.000244	900.741	N
261623_at	3.2	A	0.976074	7.393	N
261626_at	355.9	P	0.014159999999999999	301.838	N
261624_at	139.6	P	0.018555000000000002	189.767	N
264169_at	276.0	P	0.008057	260.039	N
264175_at	75.3	A	0.398926	42.874	N
264167_at	57.8	A	0.14965799999999999	55.734	N
264151_at	45.8	A	0.27416999999999997	49.138	N
264168_at	1020.4	P	0.000244	1210.079	N
264150_at	393.2	P	0.010742	338.173	N
264171_at	418.4	P	0.001221	351.367	N
264176_at	157.3	P	0.001953	195.073	N
264172_at	885.7	P	0.000732	843.322	N
264122_at	561.0	P	0.000244	684.01	N
264152_at	2593.1	P	0.000244	2739.363	N
264177_at	2962.2	P	0.000244	3244.251	N
264173_at	842.3	P	0.000244	1026.213	N
264178_at	999.6	P	0.000244	688.632	N
264179_at	324.1	P	0.00415	332.146	N
264180_at	2.1	A	0.6655270000000001	31.414	N
264147_at	397.0	M	0.056152	396.646	N
264146_at	595.0	P	0.000732	719.732	N
264148_at	74.4	P	0.00415	40.174	Y
264174_s_at	51.9	A	0.303711	52.177	N
264149_at	48.7	M	0.056152	56.604	N
264170_at	450.9	P	0.000244	426.77	N
264123_at	845.7	P	0.000244	1026.815	N
264121_at	2279.4	P	0.000244	2323.633	N
259441_at	555.8	P	0.000244	534.667	N
259416_at	2064.2	P	0.000244	1852.049	N
259442_at	96.8	P	0.030273	75.486	N
259413_at	4.0	A	0.80542	17.242	N
259415_at	398.2	P	0.000244	465.825	N
259417_at	25.7	A	0.46606400000000003	41.069	N
259443_at	126.1	A	0.080566	19.204	N
259444_at	162.0	A	0.095215	148.535	N
259418_at	200.3	P	0.000732	119.598	N
259445_at	133.2	P	0.037598	99.358	N
259446_at	851.9	P	0.000244	721.507	N
259414_at	33.9	A	0.17138699999999998	71.183	N
259447_s_at	55.0	P	0.018555000000000002	42.969	N
260904_at	611.4	P	0.000732	76.436	Y
260903_at	139.0	P	0.018555000000000002	90.494	N
260933_at	142.1	A	0.398926	78.331	N
260916_at	2572.7	P	0.000244	2033.233	N
260911_at	6.3	A	0.932373	8.416	N
260913_at	5462.4	P	0.000244	4813.51	N
260932_s_at	14.5	A	0.43237299999999995	30.824	N
260906_at	11.0	A	0.601074	9.823	N
260931_at	11.4	A	0.72583	13.825	N
260912_at	4930.4	P	0.000244	4906.432	N
260907_at	67.8	A	0.17138699999999998	43.489	N
260908_at	5.4	A	0.8286129999999999	15.703	N
260930_at	131.7	A	0.17138699999999998	131.946	N
260914_at	198.4	P	0.046143	350.528	N
260915_at	166.2	P	0.000732	217.145	N
260909_at	17.3	A	0.5	27.769	N
260929_at	297.4	P	0.001953	264.354	N
260910_at	181.5	P	0.0058590000000000005	203.811	N
260917_at	17.1	A	0.46606400000000003	32.803	N
260905_at	18.6	A	0.601074	17.098	N
260928_at	247.1	A	0.27416999999999997	215.372	N
262109_at	840.4	P	0.000732	800.751	N
262108_at	86.8	A	0.246094	154.514	N
262107_at	299.2	P	0.00415	270.203	N
262117_at	10816.1	P	0.000244	10402.596	N
262122_at	24.9	A	0.398926	21.964	N
262121_at	123.4	A	0.303711	81.169	N
262105_at	46.8	A	0.246094	47.747	N
262115_at	77.1	A	0.27416999999999997	61.938	N
262116_at	419.3	P	0.00415	489.173	N
262113_at	277.6	P	0.023926	502.679	N
262132_at	54.5	A	0.080566	51.096	N
262110_at	918.6	P	0.000244	1011.574	N
262118_at	281.3	P	0.001953	209.39	N
262114_at	188.2	P	0.023926	334.297	N
262112_at	726.4	P	0.001953	718.39	N
262130_at	346.3	P	0.000732	464.92	N
262131_at	98.8	A	0.111572	77.516	N
262104_at	958.2	P	0.001953	826.886	N
262119_s_at	11729.8	P	0.000244	2668.732	Y
262103_at	58.5	A	0.095215	22.437	N
262120_at	67.8	P	0.0058590000000000005	103.995	N
262111_at	274.5	P	0.000732	341.023	N
262106_at	172.2	P	0.000244	153.948	N
262102_at	66.3	A	0.334473	41.027	N
263170_at	535.1	P	0.000732	676.783	N
263169_at	9.1	A	0.870361	61.947	N
263168_at	73.8	A	0.06762699999999999	96.486	N
263167_at	227.9	P	0.00293	216.9	N
263117_at	509.7	P	0.000244	434.535	N
263166_at	4.3	A	0.870361	6.035	N
263115_at	144.5	A	0.19458	144.672	N
263165_at	407.1	P	0.001953	372.012	N
263164_at	195.7	P	0.008057	297.616	N
263112_at	143.2	P	0.00293	147.383	N
263118_at	210.5	P	0.008057	404.351	N
263143_at	47.6	P	0.037598	84.762	N
263119_at	345.2	P	0.0058590000000000005	320.963	N
263114_at	11943.1	P	0.000244	13318.02	N
263116_s_at	1007.2	P	0.000244	1133.179	N
263113_at	407.3	P	0.000244	402.253	N
263163_at	767.6	P	0.000244	664.389	N
264363_at	18.2	A	0.72583	19.999	N
264358_at	77.9	A	0.111572	86.614	N
264356_at	117.4	P	0.00293	146.1	N
264355_at	1128.3	P	0.001953	703.056	N
264365_s_at	1502.1	P	0.000244	1449.324	N
264354_s_at	52.6	P	0.010742	88.531	N
