ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
245016_at	4363.8	P	0.000244	3561.93	N
261585_at	110.8	A	0.219482	58.755	N
261568_at	18.1	A	0.5	24.913	N
261584_at	253.3	A	0.095215	262.022	N
261579_at	1505.5	P	0.00293	2114.883	N
261569_at	90.9	A	0.080566	192.622	N
261576_at	125.5	A	0.17138699999999998	197.528	N
261577_at	2255.8	P	0.000244	2305.64	N
261583_at	5095.5	P	0.000244	5262.24	N
261578_at	7731.9	P	0.000244	7391.081	N
261580_at	4.2	A	0.850342	21.06	N
261570_at	487.0	P	0.00415	622.639	N
261575_at	15.9	A	0.601074	44.719	N
261581_at	1284.2	P	0.001221	1250.235	N
261571_at	38.3	A	0.19458	38.556	N
261582_at	433.2	P	0.008057	464.954	N
261572_at	3302.0	P	0.000244	3806.06	N
261573_at	121.0	A	0.14965799999999999	65.904	N
261574_at	125.1	A	0.303711	133.186	N
261042_at	55.7	A	0.567627	65.596	N
261043_at	808.9	P	0.00293	799.7	N
261025_at	245.2	A	0.06762699999999999	205.616	N
261057_at	1098.8	P	0.000244	1180.424	N
261026_at	729.0	P	0.018555000000000002	1146.511	N
261059_at	62.6	A	0.366211	126.711	N
261050_at	215.4	P	0.0058590000000000005	253.451	N
261051_at	4.3	A	0.8884280000000001	7.487	N
261044_at	170.9	P	0.00415	175.213	N
261055_at	975.1	P	0.000732	1189.818	N
261045_at	4.5	A	0.953857	5.048	N
261053_at	3574.3	P	0.000244	3050.263	N
261054_at	585.3	P	0.018555000000000002	425.116	N
261027_at	204.2	P	0.030273	65.762	Y
261056_at	263.2	P	0.000244	362.85	N
261058_at	108.9	A	0.334473	114.579	N
257490_x_at	44.2	A	0.14965799999999999	43.503	N
261046_at	79.3	P	0.023926	85.144	N
261047_at	44.6	A	0.14965799999999999	40.174	N
261048_at	120.2	P	0.030273	120.986	N
261049_at	954.3	P	0.001221	1162.982	N
261052_at	159.1	P	0.046143	157.81	N
259435_at	67.3	A	0.219482	63.266	N
259425_at	7.1	A	0.850342	5.866	N
259426_at	4070.9	P	0.000244	6350.228	N
259439_at	6.4	A	0.696289	9.667	N
259434_at	1613.6	P	0.001221	2209.437	N
259436_at	635.7	P	0.000244	658.834	N
259438_at	319.9	P	0.000732	543.181	N
259432_at	3.2	A	0.969727	34.969	N
259427_at	29.9	A	0.129639	31.638	N
259437_at	571.5	P	0.001221	956.412	N
259440_at	3762.8	P	0.000244	3671.059	N
259428_at	622.9	P	0.0058590000000000005	231.153	Y
259433_at	80.1	A	0.19458	81.126	N
259429_at	110.6	P	0.046143	139.086	N
259430_at	772.7	P	0.000244	600.79	N
259431_at	4809.0	P	0.000244	6422.525	N
261563_at	1524.1	P	0.00293	1370.661	N
261586_at	96.7	A	0.17138699999999998	80.666	N
257484_at	946.8	P	0.001953	962.832	N
261587_at	91.1	A	0.303711	82.164	N
261588_at	209.8	P	0.046143	104.717	N
261589_at	108.8	A	0.17138699999999998	85.156	N
261590_at	9.7	A	0.601074	30.651	N
