ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
245016_at	3404.9	P	0.000244	3364.714	N
261585_at	80.4	A	0.246094	55.501	N
261568_at	31.0	A	0.601074	23.533	N
261584_at	241.1	P	0.018555000000000002	247.515	N
261579_at	1962.7	P	0.001221	1997.786	N
261569_at	228.7	P	0.00415	181.957	N
261576_at	180.7	P	0.010742	186.592	N
261577_at	2021.7	P	0.000244	2177.982	N
261583_at	4779.6	P	0.000244	4970.881	N
261578_at	7056.9	P	0.000244	6981.853	N
261580_at	49.0	A	0.5	19.894	N
261570_at	627.6	P	0.000732	588.165	N
261575_at	55.3	A	0.398926	42.243	N
261581_at	1174.6	P	0.000732	1181.012	N
261571_at	39.1	A	0.095215	36.421	N
261582_at	490.4	P	0.001221	439.21	N
261572_at	3577.7	P	0.000244	3595.327	N
261573_at	53.3	A	0.27416999999999997	62.255	N
261574_at	101.4	A	0.43237299999999995	125.812	N
261042_at	79.5	A	0.46606400000000003	61.965	N
261043_at	818.8	P	0.000732	755.423	N
261025_at	155.1	P	0.023926	194.232	N
261057_at	1119.4	P	0.000244	1115.067	N
261026_at	1120.8	P	0.0058590000000000005	1083.031	N
261059_at	124.3	A	0.06762699999999999	119.696	N
261050_at	232.6	P	0.001221	239.418	N
261051_at	1.7	A	0.696289	7.072	N
261044_at	189.2	P	0.000244	165.512	N
261055_at	929.5	P	0.000732	1123.94	N
261045_at	4.8	A	0.976074	4.769	N
261053_at	2889.5	P	0.000244	2881.376	N
261054_at	405.9	P	0.00415	401.579	N
261027_at	57.1	A	0.334473	62.121	Y
261056_at	354.5	P	0.000244	342.76	N
261058_at	91.7	A	0.43237299999999995	108.235	N
257490_x_at	56.9	M	0.056152	41.094	N
261046_at	88.9	P	0.030273	80.43	N
261047_at	24.2	A	0.246094	37.95	N
261048_at	140.2	P	0.00293	114.287	N
261049_at	1076.1	P	0.000244	1098.59	N
261052_at	160.5	P	0.030273	149.072	N
259435_at	65.6	A	0.17138699999999998	59.763	N
259425_at	4.5	A	0.9047850000000001	5.541	N
259426_at	6554.3	P	0.000244	5998.63	N
259439_at	5.8	A	0.633789	9.132	N
259434_at	1978.6	P	0.000732	2087.105	N
259436_at	616.0	P	0.000244	622.356	N
259438_at	422.4	P	0.000732	513.107	N
259432_at	2.4	A	0.850342	33.033	N
259427_at	47.8	M	0.056152	29.886	N
259437_at	781.5	P	0.000244	903.458	N
259440_at	3503.9	P	0.000244	3467.801	N
259428_at	176.2	P	0.018555000000000002	218.354	Y
259433_at	58.5	P	0.037598	76.634	N
259429_at	126.1	A	0.095215	131.385	N
259430_at	606.9	P	0.000244	567.525	N
259431_at	6256.0	P	0.000244	6066.924	N
261563_at	1305.0	P	0.001221	1294.77	N
261586_at	46.6	A	0.27416999999999997	76.2	N
257484_at	904.3	P	0.001953	909.522	N
261587_at	70.4	A	0.398926	77.615	N
261588_at	124.2	P	0.046143	98.919	N
261589_at	79.6	A	0.19458	80.442	N
261590_at	32.2	A	0.72583	28.954	N
261560_at	433.7	P	0.000244	477.115	N
261564_at	205.8	P	0.0058590000000000005	165.446	N
261535_at	245.8	P	0.0058590000000000005	242.75	N
261561_at	407.9	P	0.000244	415.798	N
261591_at	318.4	P	0.00293	276.169	N
261562_at	3.9	A	0.7539060000000001	12.848	N
261592_at	8.9	A	0.8884280000000001	9.871	N
261558_at	320.3	P	0.000244	315.552	N
261559_at	182.3	P	0.010742	189.427	N
261536_at	2467.8	P	0.000244	2327.226	N
261537_at	1257.4	P	0.000732	1232.414	N
261534_at	972.2	P	0.000244	1054.254	N
261538_at	138.4	P	0.000244	148.084	N
261539_at	134.9	P	0.046143	93.07	N
261652_at	503.1	P	0.00415	475.759	N
261653_at	204.0	P	0.001221	204.63	N
261627_at	1097.0	P	0.000244	1097.717	N
261654_at	116.5	P	0.037598	118.397	N
261625_at	230.8	P	0.000732	255.64	N
261655_at	305.4	P	0.000732	397.357	N
261656_at	195.3	P	0.00415	212.262	N
261621_at	983.6	P	0.000244	969.762	N
261622_at	940.8	P	0.000244	900.338	N
261623_at	3.7	A	0.9624020000000001	7.389	N
261626_at	311.2	P	0.0058590000000000005	301.703	N
261624_at	169.7	P	0.014159999999999999	189.682	N
264169_at	286.4	P	0.00293	259.923	N
264175_at	16.9	A	0.303711	42.855	N
264167_at	27.4	A	0.43237299999999995	55.709	N
264151_at	36.9	A	0.43237299999999995	49.116	N
264168_at	1207.7	P	0.000244	1209.537	N
264150_at	422.5	P	0.018555000000000002	338.022	N
264171_at	411.2	P	0.001221	351.21	N
264176_at	210.0	P	0.008057	194.986	N
264172_at	886.6	P	0.000732	842.945	N
264122_at	705.0	P	0.000244	683.704	N
264152_at	2827.6	P	0.000244	2738.138	N
264177_at	3244.7	P	0.000244	3242.801	N
264173_at	993.3	P	0.000244	1025.754	N
264178_at	642.8	P	0.000244	688.324	N
264179_at	379.3	P	0.001953	331.997	N
264180_at	36.7	A	0.246094	31.4	N
264147_at	520.1	P	0.014159999999999999	396.469	N
264146_at	871.7	P	0.000244	719.41	N
264148_at	30.0	A	0.095215	40.156	Y
264174_s_at	47.9	A	0.219482	52.154	N
264149_at	48.5	A	0.06762699999999999	56.579	N
264170_at	396.4	P	0.000732	426.58	N
264123_at	1149.0	P	0.000244	1026.356	N
264121_at	2392.9	P	0.000244	2322.594	N
259441_at	499.3	P	0.000244	534.428	N
259416_at	1950.5	P	0.000244	1851.22	N
259442_at	93.0	A	0.095215	75.453	N
259413_at	5.3	A	0.80542	17.234	N
259415_at	436.1	P	0.000244	465.617	N
259417_at	44.5	A	0.095215	41.051	N
259443_at	12.9	A	0.5	19.195	N
259444_at	134.5	A	0.129639	148.468	N
259418_at	101.5	P	0.046143	119.544	N
259445_at	106.9	P	0.001953	99.314	N
259446_at	704.4	P	0.000244	721.184	N
259414_at	113.4	A	0.06762699999999999	71.151	N
259447_s_at	51.8	A	0.246094	42.95	N
260904_at	74.7	P	0.00415	76.402	Y
260903_at	83.2	A	0.06762699999999999	90.454	N
260933_at	91.5	A	0.633789	78.295	N
260916_at	2099.6	P	0.000244	2032.324	N
260911_at	4.5	A	0.9624020000000001	8.412	N
260913_at	5183.4	P	0.000244	4811.358	N
260932_s_at	3.2	A	0.5	30.81	N
260906_at	14.9	A	0.6655270000000001	9.819	N
260931_at	16.1	A	0.8286129999999999	13.819	N
260912_at	5332.8	P	0.000244	4904.238	N
260907_at	34.9	A	0.246094	43.47	N
260908_at	10.1	A	0.633789	15.696	N
260930_at	132.4	A	0.219482	131.887	N
260914_at	352.6	P	0.010742	350.371	N
260915_at	233.9	P	0.001221	217.048	N
260909_at	65.1	A	0.27416999999999997	27.757	N
260929_at	215.9	P	0.001953	264.236	N
260910_at	195.6	P	0.0058590000000000005	203.72	N
260917_at	38.7	A	0.5	32.789	N
260905_at	20.2	A	0.5	17.09	N
260928_at	280.2	A	0.14965799999999999	215.275	N
262109_at	862.2	P	0.000244	800.393	N
262108_at	128.8	A	0.19458	154.445	N
262107_at	271.7	P	0.000732	270.082	N
262117_at	11039.7	P	0.000244	10397.944	N
262122_at	5.8	A	0.601074	21.954	N
262121_at	114.6	A	0.366211	81.132	N
262105_at	60.3	A	0.334473	47.726	N
262115_at	79.6	A	0.14965799999999999	61.91	N
262116_at	540.6	P	0.00415	488.954	N
262113_at	455.6	P	0.001953	502.454	N
262132_at	47.6	A	0.17138699999999998	51.073	N
262110_at	1082.1	P	0.000244	1011.122	N
262118_at	225.1	P	0.001221	209.296	N
262114_at	297.0	P	0.018555000000000002	334.147	N
262112_at	682.4	P	0.001953	718.068	N
262130_at	520.4	P	0.000244	464.712	N
262131_at	99.2	A	0.19458	77.482	N
262104_at	757.3	P	0.00293	826.516	N
262119_s_at	2253.6	P	0.000244	2667.539	Y
262103_at	5.4	A	0.43237299999999995	22.427	N
262120_at	109.8	P	0.000244	103.949	N
262111_at	371.5	P	0.000732	340.87	N
262106_at	125.3	P	0.00415	153.879	N
262102_at	8.8	A	0.6655270000000001	41.009	N
263170_at	727.6	P	0.000244	676.481	N
263169_at	71.1	A	0.14965799999999999	61.919	N
263168_at	108.9	M	0.056152	96.443	N
263167_at	177.6	P	0.0058590000000000005	216.803	N
263117_at	412.7	P	0.000732	434.341	N
263166_at	3.3	A	0.976074	6.032	N
263115_at	139.5	A	0.17138699999999998	144.607	N
263165_at	411.1	P	0.010742	371.846	N
263164_at	261.3	P	0.023926	297.483	N
263112_at	173.8	P	0.001953	147.317	N
263118_at	468.6	P	0.00293	404.171	N
263143_at	71.8	P	0.000244	84.724	N
263119_at	312.6	P	0.000732	320.819	N
263114_at	13467.5	P	0.000244	13312.063	N
263116_s_at	1201.9	P	0.000244	1132.673	N
263113_at	385.0	P	0.000244	402.073	N
263163_at	749.1	P	0.000244	664.092	N
264363_at	12.3	A	0.8286129999999999	19.99	N
264358_at	133.7	P	0.018555000000000002	86.575	N
264356_at	140.6	P	0.000244	146.035	N
264355_at	670.3	P	0.001953	702.742	N
264365_s_at	1395.6	P	0.000244	1448.676	N
264354_s_at	96.0	P	0.0058590000000000005	88.492	N
264366_at	433.1	P	0.000244	412.641	N
264353_at	131.6	P	0.010742	150.851	N
264352_at	85.3	P	0.023926	86.693	N
264368_at	274.4	P	0.008057	376.14	N
264362_at	292.8	P	0.000244	263.36	Y
264361_at	84.6	P	0.037598	100.943	N
264360_at	1379.4	P	0.000244	1394.051	N
264359_at	35.0	A	0.533936	48.73	N
