ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
245016_at	1669.9	P	0.000244	3339.874	N
261585_at	136.2	M	0.056152	55.092	N
261568_at	21.5	A	0.398926	23.359	N
261584_at	114.5	A	0.095215	245.687	N
261579_at	3476.0	P	0.001953	1983.038	N
261569_at	92.1	P	0.018555000000000002	180.613	N
261576_at	247.3	P	0.0058590000000000005	185.214	N
261577_at	942.1	P	0.000244	2161.903	N
261583_at	4975.8	P	0.000244	4934.184	N
261578_at	8922.2	P	0.000244	6930.31	N
261580_at	4.4	A	0.8884280000000001	19.747	N
261570_at	304.7	P	0.000732	583.823	N
261575_at	13.0	A	0.696289	41.931	N
261581_at	1905.9	P	0.000732	1172.293	N
261571_at	34.9	A	0.129639	36.153	N
261582_at	527.2	P	0.00293	435.968	N
261572_at	4005.8	P	0.000244	3568.785	N
261573_at	13.0	A	0.696289	61.795	N
261574_at	31.8	A	0.533936	124.883	N
261042_at	3.2	A	0.7539060000000001	61.507	N
261043_at	853.0	P	0.001953	749.846	N
261025_at	135.9	A	0.080566	192.798	N
261057_at	1014.9	P	0.000244	1106.834	N
261026_at	850.7	P	0.0058590000000000005	1075.036	N
261059_at	5.7	A	0.533936	118.812	N
261050_at	195.5	P	0.00415	237.651	N
261051_at	32.8	A	0.334473	7.02	N
261044_at	192.6	P	0.0058590000000000005	164.29	N
261055_at	1415.9	P	0.000244	1115.643	N
261045_at	3.8	A	0.991943	4.734	N
261053_at	4398.9	P	0.000244	2860.105	N
261054_at	442.4	P	0.030273	398.614	N
261027_at	402.6	P	0.0058590000000000005	61.662	Y
261056_at	326.1	P	0.000732	340.229	N
261058_at	147.6	A	0.303711	107.436	N
257490_x_at	4.3	A	0.696289	40.791	N
261046_at	100.6	M	0.056152	79.836	N
261047_at	20.5	A	0.398926	37.67	N
261048_at	158.4	P	0.023926	113.443	N
261049_at	752.8	P	0.001953	1090.48	N
261052_at	201.8	A	0.095215	147.972	N
259435_at	46.6	A	0.219482	59.322	N
259425_at	7.3	A	0.8286129999999999	5.5	N
259426_at	4448.9	P	0.000244	5954.345	N
259439_at	7.9	A	0.46606400000000003	9.065	N
259434_at	2441.2	P	0.000732	2071.697	N
259436_at	400.8	P	0.00415	617.762	N
259438_at	390.9	P	0.00293	509.319	N
259432_at	24.0	A	0.303711	32.789	N
259427_at	3.2	A	0.533936	29.666	N
259437_at	769.5	P	0.000244	896.788	N
259440_at	4722.0	P	0.000244	3442.2	N
259428_at	492.0	P	0.000244	216.742	Y
259433_at	24.5	A	0.5	76.069	N
259429_at	141.9	A	0.129639	130.415	N
259430_at	546.7	P	0.000244	563.335	N
259431_at	5093.5	P	0.000244	6022.135	N
261563_at	794.8	P	0.00293	1285.212	N
261586_at	72.8	A	0.19458	75.638	N
257484_at	791.8	P	0.001221	902.808	N
261587_at	57.9	A	0.27416999999999997	77.042	N
261588_at	113.6	P	0.014159999999999999	98.189	N
261589_at	66.2	A	0.43237299999999995	79.848	N
261590_at	72.2	A	0.246094	28.74	N
261560_at	417.6	P	0.001221	473.592	N
261564_at	237.9	P	0.008057	164.224	N
261535_at	83.9	P	0.018555000000000002	240.958	N
261561_at	837.2	P	0.000244	412.728	N
261591_at	225.0	A	0.06762699999999999	274.13	N
261562_at	5.1	A	0.80542	12.753	N
261592_at	6.1	A	0.9438479999999999	9.798	N
261558_at	346.8	P	0.001221	313.223	N
261559_at	83.3	P	0.037598	188.029	N
261536_at	1210.6	P	0.000244	2310.045	N
261537_at	1836.6	P	0.000244	1223.316	N
261534_at	1551.9	P	0.000244	1046.471	N
261538_at	121.8	P	0.001221	146.991	N
261539_at	71.9	A	0.27416999999999997	92.383	N
261652_at	293.3	P	0.0058590000000000005	472.246	N
261653_at	199.7	P	0.010742	203.119	N
261627_at	1390.8	P	0.000244	1089.613	N
261654_at	170.8	P	0.014159999999999999	117.523	N
261625_at	233.4	P	0.000732	253.753	N
261655_at	403.8	P	0.00415	394.423	N
261656_at	248.1	P	0.018555000000000002	210.695	N
261621_at	807.6	P	0.000244	962.602	N
261622_at	580.4	P	0.000244	893.691	N
261623_at	9.3	A	0.8884280000000001	7.335	N
261626_at	191.7	A	0.080566	299.476	N
261624_at	155.5	P	0.008057	188.282	N
264169_at	193.3	P	0.014159999999999999	258.004	N
264175_at	84.9	A	0.111572	42.538	N
264167_at	58.0	P	0.014159999999999999	55.297	N
264151_at	65.5	M	0.056152	48.754	N
264168_at	1474.0	P	0.000244	1200.608	N
264150_at	303.6	P	0.010742	335.526	N
