ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
245016_at	2604.2	P	0.000244	3439.611	N
261585_at	62.1	A	0.27416999999999997	56.737	N
261568_at	10.4	A	0.72583	24.057	N
261584_at	360.8	M	0.056152	253.024	N
261579_at	2098.3	P	0.000732	2042.256	N
261569_at	114.4	P	0.010742	186.007	N
261576_at	263.0	P	0.010742	190.745	N
261577_at	2461.5	P	0.000244	2226.463	N
261583_at	5158.4	P	0.000244	5081.531	N
261578_at	7723.3	P	0.000244	7137.266	N
261580_at	5.1	A	0.633789	20.337	N
261570_at	584.7	P	0.000244	601.258	N
261575_at	28.2	A	0.43237299999999995	43.184	N
261581_at	955.0	P	0.000732	1207.301	N
261571_at	17.4	A	0.17138699999999998	37.232	N
261582_at	466.2	P	0.001221	448.987	N
261572_at	4096.4	P	0.000244	3675.358	N
261573_at	108.8	A	0.095215	63.64	N
261574_at	133.6	A	0.27416999999999997	128.613	N
261042_at	64.8	A	0.46606400000000003	63.344	N
261043_at	823.6	P	0.000732	772.238	N
261025_at	219.2	P	0.046143	198.555	N
261057_at	933.3	P	0.000244	1139.887	N
261026_at	672.8	P	0.010742	1107.139	N
261059_at	87.1	A	0.19458	122.36	N
261050_at	204.3	P	0.008057	244.748	N
261051_at	3.9	A	0.953857	7.23	N
261044_at	210.4	P	0.001221	169.196	N
261055_at	1310.2	P	0.000732	1148.959	N
261045_at	7.6	A	0.976074	4.875	N
261053_at	3772.0	P	0.000244	2945.515	N
261054_at	506.1	P	0.000732	410.518	N
261027_at	89.4	A	0.19458	63.504	Y
261056_at	398.3	P	0.000244	350.389	N
261058_at	138.7	A	0.366211	110.644	N
257490_x_at	24.4	A	0.19458	42.009	N
261046_at	75.0	A	0.111572	82.22	N
261047_at	44.7	A	0.129639	38.795	N
261048_at	133.6	P	0.0058590000000000005	116.831	N
261049_at	884.1	P	0.000732	1123.044	N
261052_at	214.0	P	0.023926	152.39	N
259435_at	64.8	A	0.398926	61.094	N
259425_at	10.2	A	0.870361	5.664	N
259426_at	4609.6	P	0.000244	6132.157	N
259439_at	13.1	A	0.633789	9.335	N
259434_at	1922.3	P	0.000732	2133.563	N
259436_at	783.1	P	0.000244	636.21	N
259438_at	514.1	P	0.000244	524.528	N
259432_at	32.4	A	0.334473	33.768	N
259427_at	35.9	A	0.366211	30.552	N
259437_at	1035.3	P	0.000732	923.568	N
259440_at	2841.8	P	0.000732	3544.993	N
259428_at	291.6	P	0.010742	223.215	Y
259433_at	69.9	A	0.080566	78.34	N
259429_at	138.7	A	0.129639	134.309	N
259430_at	573.8	P	0.000244	580.158	N
259431_at	5069.2	P	0.000244	6201.971	N
261563_at	1283.6	P	0.001221	1323.591	N
261586_at	104.5	A	0.17138699999999998	77.896	N
257484_at	812.0	P	0.001953	929.768	N
261587_at	80.9	A	0.246094	79.343	N
261588_at	205.8	P	0.023926	101.121	N
261589_at	119.8	A	0.219482	82.232	N
261590_at	26.2	A	0.5	29.598	N
261560_at	604.3	P	0.000732	487.735	N
