ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
245016_at	2235.2	P	0.000244	3551.391	N
261585_at	55.4	A	0.398926	58.581	N
261568_at	7.0	A	0.46606400000000003	24.839	N
261584_at	276.0	M	0.056152	261.247	N
261579_at	2136.5	P	0.001221	2108.625	N
261569_at	78.9	A	0.129639	192.052	N
261576_at	282.9	P	0.046143	196.944	N
261577_at	2585.2	P	0.000244	2298.819	N
261583_at	4938.6	P	0.000244	5246.67	N
261578_at	6626.7	P	0.000244	7369.212	N
261580_at	6.2	A	0.8286129999999999	20.998	N
261570_at	617.0	P	0.00415	620.797	N
261575_at	68.2	A	0.334473	44.587	N
261581_at	1042.8	P	0.000732	1246.536	N
261571_at	45.5	P	0.046143	38.442	N
261582_at	472.4	P	0.001953	463.578	N
261572_at	3647.8	P	0.000244	3794.799	N
261573_at	138.1	P	0.046143	65.709	N
261574_at	61.7	A	0.398926	132.792	N
261042_at	32.9	A	0.533936	65.402	N
261043_at	719.3	P	0.000244	797.334	N
261025_at	232.2	A	0.06762699999999999	205.008	N
261057_at	1090.5	P	0.000244	1176.931	N
261026_at	806.3	P	0.010742	1143.119	N
261059_at	16.9	A	0.533936	126.337	N
261050_at	209.4	P	0.0058590000000000005	252.701	N
261051_at	5.9	A	0.8884280000000001	7.465	N
261044_at	164.4	P	0.010742	174.695	N
261055_at	1202.6	P	0.000732	1186.297	N
261045_at	4.2	A	0.9814450000000001	5.034	N
261053_at	3309.8	P	0.000244	3041.238	N
261054_at	504.9	P	0.001221	423.859	N
261027_at	106.1	A	0.129639	65.567	Y
261056_at	297.8	P	0.000244	361.776	N
261058_at	139.2	A	0.303711	114.24	N
257490_x_at	1.2	A	0.72583	43.374	N
261046_at	83.3	A	0.14965799999999999	84.892	N
261047_at	33.4	A	0.17138699999999998	40.056	N
261048_at	174.8	P	0.018555000000000002	120.628	N
261049_at	1041.5	P	0.001221	1159.541	N
261052_at	206.1	P	0.018555000000000002	157.343	N
259435_at	73.6	A	0.219482	63.079	N
259425_at	9.7	A	0.80542	5.848	N
259426_at	5044.9	P	0.000244	6331.439	N
259439_at	17.5	A	0.5	9.639	N
259434_at	2150.1	P	0.000732	2202.9	N
259436_at	716.0	P	0.000244	656.885	N
259438_at	420.7	P	0.001221	541.574	N
259432_at	3.0	A	0.780518	34.866	N
259427_at	51.8	P	0.037598	31.545	N
259437_at	677.4	P	0.000244	953.582	N
259440_at	3203.3	P	0.000732	3660.198	N
259428_at	312.6	P	0.0058590000000000005	230.469	Y
259433_at	93.2	P	0.046143	80.886	N
259429_at	109.2	A	0.17138699999999998	138.674	N
259430_at	710.4	P	0.000244	599.012	N
259431_at	6241.2	P	0.000244	6403.522	N
261563_at	1411.8	P	0.001221	1366.605	N
261586_at	47.0	A	0.43237299999999995	80.428	N
257484_at	807.0	P	0.001221	959.983	N
261587_at	74.5	A	0.46606400000000003	81.921	N
261588_at	162.7	A	0.080566	104.407	N
261589_at	109.5	A	0.19458	84.905	N
261590_at	11.3	A	0.6655270000000001	30.56	N
261560_at	524.4	P	0.000732	503.585	N
261564_at	118.5	P	0.037598	174.625	N
261535_at	237.8	P	0.0058590000000000005	256.218	N
261561_at	464.9	P	0.000244	438.867	N
261591_at	281.8	P	0.00293	291.491	N
261562_at	3.8	A	0.9438479999999999	13.561	N
261592_at	10.8	A	0.9047850000000001	10.418	N
261558_at	334.4	P	0.000244	333.06	N
261559_at	200.8	P	0.023926	199.937	N
261536_at	2284.6	P	0.000244	2456.343	N
261537_at	1232.5	P	0.000732	1300.789	N
261534_at	1216.4	P	0.000244	1112.745	N
261538_at	136.9	P	0.008057	156.3	N
261539_at	68.2	A	0.19458	98.234	N
261652_at	408.8	P	0.00415	502.154	N
261653_at	258.2	P	0.023926	215.983	N
261627_at	1245.3	P	0.000732	1158.619	N
261654_at	129.8	M	0.056152	124.966	N
261625_at	235.4	P	0.000244	269.823	N
261655_at	408.8	P	0.014159999999999999	419.402	N
261656_at	217.2	P	0.0058590000000000005	224.038	N
261621_at	941.4	P	0.000244	1023.565	N
261622_at	1032.2	P	0.000732	950.29	N
261623_at	2.9	A	0.9438479999999999	7.799	N
261626_at	312.1	P	0.037598	318.442	N
261624_at	119.1	A	0.080566	200.206	N
264169_at	309.9	P	0.00415	274.343	N
264175_at	57.3	A	0.366211	45.232	N
264167_at	102.6	A	0.06762699999999999	58.799	N
264151_at	89.5	M	0.056152	51.841	N
264168_at	1284.5	P	0.000244	1276.644	N
264150_at	360.4	P	0.018555000000000002	356.775	N
264171_at	500.4	P	0.001221	370.695	N
264176_at	131.3	P	0.018555000000000002	205.804	N
264172_at	860.1	P	0.000244	889.712	N
264122_at	628.7	P	0.000244	721.636	N
264152_at	2584.4	P	0.000244	2890.052	N
264177_at	3589.9	P	0.000244	3422.714	N
264173_at	1075.1	P	0.000244	1082.663	N
264178_at	661.9	P	0.000244	726.513	N
264179_at	376.9	P	0.0058590000000000005	350.417	N
264180_at	4.1	A	0.567627	33.142	N
264147_at	247.9	A	0.111572	418.465	N
264146_at	546.6	P	0.001221	759.324	N
264148_at	62.4	M	0.056152	42.384	Y
264174_s_at	67.4	A	0.246094	55.048	N
264149_at	80.7	A	0.080566	59.718	N
264170_at	517.9	P	0.000732	450.247	N
264123_at	1087.0	P	0.000244	1083.299	N
264121_at	2674.6	P	0.000244	2451.454	N
259441_at	516.1	P	0.000244	564.078	N
259416_at	1804.1	P	0.000244	1953.928	N
259442_at	66.9	A	0.19458	79.639	N
259413_at	6.3	A	0.7539060000000001	18.19	N
259415_at	429.8	P	0.000244	491.449	N
259417_at	18.9	A	0.6655270000000001	43.328	N
259443_at	29.1	A	0.533936	20.26	N
259444_at	182.5	A	0.129639	156.706	N
259418_at	126.7	P	0.018555000000000002	126.176	N
259445_at	133.5	M	0.056152	104.824	N
259446_at	734.4	P	0.000244	761.196	N
259414_at	107.0	P	0.037598	75.099	N
259447_s_at	48.1	A	0.14965799999999999	45.333	N
260904_at	114.1	P	0.00415	80.641	Y
260903_at	105.5	A	0.080566	95.472	N
260933_at	129.9	A	0.533936	82.639	N
260916_at	2404.7	P	0.000244	2145.079	N
260911_at	2.3	A	0.976074	8.879	N
260913_at	4653.1	P	0.000244	5078.296	N
260932_s_at	38.6	A	0.19458	32.52	N
260906_at	6.3	A	0.870361	10.364	N
260931_at	30.0	A	0.633789	14.586	N
260912_at	5327.8	P	0.000244	5176.329	N
