ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
245016_at	2137.3	P	0.000244	3397.834	N
261585_at	141.9	A	0.219482	56.048	N
261568_at	21.4	A	0.43237299999999995	23.765	N
261584_at	303.2	P	0.030273	249.951	N
261579_at	2562.3	P	0.000732	2017.452	N
261569_at	134.8	P	0.030273	183.748	N
261576_at	200.2	P	0.00415	188.428	N
261577_at	2055.5	P	0.000244	2199.421	N
261583_at	4304.1	P	0.000244	5019.812	N
261578_at	7368.4	P	0.000244	7050.579	N
261580_at	7.1	A	0.6655270000000001	20.09	N
261570_at	579.6	P	0.000732	593.955	N
261575_at	23.4	A	0.6655270000000001	42.659	N
261581_at	1609.2	P	0.000732	1192.637	N
261571_at	21.4	A	0.080566	36.78	N
261582_at	428.0	P	0.001953	443.534	N
261572_at	3015.8	P	0.000244	3630.718	N
261573_at	81.8	A	0.06762699999999999	62.867	N
261574_at	95.3	A	0.27416999999999997	127.051	N
261042_at	7.2	A	0.6655270000000001	62.574	N
261043_at	866.0	P	0.000732	762.859	N
261025_at	196.2	P	0.046143	196.144	N
261057_at	989.3	P	0.000244	1126.043	N
261026_at	613.7	P	0.010742	1093.692	N
261059_at	11.5	A	0.567627	120.874	N
261050_at	164.4	P	0.018555000000000002	241.775	N
261051_at	3.1	A	0.9047850000000001	7.142	N
261044_at	164.9	P	0.001953	167.141	N
261055_at	1264.7	P	0.000244	1135.004	N
261045_at	2.0	A	0.991943	4.816	N
261053_at	3323.2	P	0.000244	2909.739	N
261054_at	477.1	P	0.001953	405.532	N
261027_at	253.1	P	0.008057	62.732	Y
261056_at	238.7	P	0.001221	346.134	N
261058_at	130.8	A	0.19458	109.301	N
257490_x_at	19.0	A	0.14965799999999999	41.499	N
261046_at	84.8	A	0.246094	81.222	N
261047_at	8.7	A	0.334473	38.324	N
261048_at	94.3	P	0.010742	115.412	N
261049_at	739.2	P	0.001221	1109.404	N
261052_at	151.9	P	0.030273	150.54	N
259435_at	44.6	A	0.303711	60.352	N
259425_at	7.1	A	0.919434	5.595	N
259426_at	5759.4	P	0.000244	6057.677	N
259439_at	12.7	A	0.533936	9.222	N
259434_at	1682.0	P	0.000732	2107.649	N
259436_at	502.0	P	0.000244	628.482	N
259438_at	433.0	P	0.000732	518.157	N
259432_at	18.2	A	0.72583	33.358	N
259427_at	77.8	P	0.046143	30.181	N
259437_at	524.0	P	0.000244	912.351	N
259440_at	2986.5	P	0.000244	3501.936	N
259428_at	778.4	P	0.000244	220.504	Y
259433_at	14.9	A	0.43237299999999995	77.389	N
259429_at	140.0	A	0.095215	132.678	N
259430_at	506.9	P	0.000244	573.112	N
259431_at	4494.6	P	0.000244	6126.644	N
261563_at	1502.9	P	0.001221	1307.515	N
261586_at	94.0	A	0.080566	76.95	N
257484_at	962.4	P	0.001221	918.475	N
261587_at	68.8	A	0.533936	78.379	N
261588_at	177.2	P	0.037598	99.893	N
261589_at	100.0	A	0.129639	81.233	N
261590_at	34.2	A	0.366211	29.239	N
261560_at	461.2	P	0.000244	481.811	N
261564_at	163.1	P	0.001953	167.074	N
261535_at	242.7	P	0.0058590000000000005	245.14	N
261561_at	546.2	P	0.000244	419.891	N
261591_at	268.9	P	0.00415	278.888	N
261562_at	5.5	A	0.870361	12.974	N
261592_at	9.3	A	0.780518	9.968	N
261558_at	199.8	P	0.000244	318.659	N
261559_at	164.7	P	0.014159999999999999	191.292	N
261536_at	1465.6	P	0.000244	2350.134	N
261537_at	1397.8	P	0.000244	1244.545	N
261534_at	1155.7	P	0.000244	1064.632	N
261538_at	124.5	P	0.000244	149.542	N
261539_at	48.1	A	0.19458	93.987	N
261652_at	340.2	P	0.030273	480.442	N
261653_at	224.2	P	0.023926	206.644	N
261627_at	1181.8	P	0.000244	1108.522	N
261654_at	138.3	P	0.0058590000000000005	119.563	N
261625_at	200.5	P	0.001953	258.157	N
261655_at	385.9	P	0.00293	401.268	N
261656_at	213.1	P	0.008057	214.351	N
261621_at	1090.5	P	0.000244	979.307	N
261622_at	798.6	P	0.000732	909.201	N
261623_at	12.1	A	0.780518	7.462	N
261626_at	344.5	P	0.030273	304.673	N
261624_at	183.7	P	0.001953	191.549	N
264169_at	334.7	P	0.014159999999999999	262.481	N
264175_at	56.6	A	0.5	43.276	N
264167_at	60.5	A	0.19458	56.257	N
264151_at	45.0	A	0.27416999999999997	49.6	N
264168_at	1290.3	P	0.000244	1221.443	N
264150_at	322.7	P	0.008057	341.349	N
264171_at	451.9	P	0.001221	354.667	N
264176_at	136.4	P	0.030273	196.905	N
264172_at	1011.7	P	0.000244	851.242	N
264122_at	643.9	P	0.000244	690.434	N
264152_at	2844.7	P	0.000244	2765.091	N
264177_at	2958.9	P	0.000244	3274.721	N
264173_at	1193.5	P	0.000244	1035.851	N
264178_at	1034.0	P	0.000244	695.1	N
264179_at	336.9	P	0.0058590000000000005	335.265	N
264180_at	2.9	A	0.696289	31.709	N
264147_at	253.8	P	0.046143	400.372	N
264146_at	559.4	P	0.000732	726.492	N
264148_at	112.1	P	0.001953	40.551	Y
264174_s_at	19.8	A	0.43237299999999995	52.667	N
264149_at	31.2	A	0.366211	57.136	N
264170_at	596.4	P	0.000732	430.779	N
264123_at	1109.6	P	0.000244	1036.459	N
264121_at	2422.9	P	0.000244	2345.456	N
259441_at	542.4	P	0.000244	539.689	N
259416_at	1737.9	P	0.000244	1869.443	N
259442_at	68.9	A	0.095215	76.195	N
259413_at	2.4	A	0.969727	17.403	N
259415_at	434.3	P	0.000244	470.2	N
259417_at	20.0	A	0.46606400000000003	41.455	N
259443_at	162.2	P	0.037598	19.384	N
259444_at	173.8	A	0.095215	149.93	N
259418_at	190.7	P	0.000244	120.721	N
259445_at	109.8	M	0.056152	100.291	N
259446_at	674.3	P	0.000244	728.283	N
259414_at	64.2	A	0.129639	71.851	N
259447_s_at	50.1	A	0.17138699999999998	43.373	N
260904_at	552.7	P	0.000244	77.154	Y
260903_at	197.0	P	0.010742	91.344	N
260933_at	206.4	A	0.19458	79.066	N
260916_at	2265.0	P	0.000244	2052.329	N
260911_at	7.0	A	0.953857	8.495	N
260913_at	5674.7	P	0.000244	4858.718	N
260932_s_at	46.7	A	0.334473	31.114	N
260906_at	3.9	A	0.9438479999999999	9.916	N
260931_at	20.9	A	0.696289	13.955	N
260912_at	5287.1	P	0.000244	4952.512	N
260907_at	80.8	A	0.14965799999999999	43.897	N
260908_at	12.8	A	0.72583	15.85	N
260930_at	139.1	A	0.17138699999999998	133.185	N
260914_at	185.4	A	0.06762699999999999	353.82	N
260915_at	155.8	P	0.000244	219.184	N
260909_at	4.0	A	0.9438479999999999	28.03	N
260929_at	189.7	P	0.00293	266.837	N
260910_at	281.2	P	0.00293	205.725	N
260917_at	53.1	A	0.334473	33.111	N
260905_at	15.4	A	0.5	17.258	N
260928_at	202.2	A	0.27416999999999997	217.394	N
262109_at	860.4	P	0.000244	808.271	N
262108_at	143.8	A	0.129639	155.966	N
262107_at	308.7	P	0.001953	272.741	N
262117_at	10643.0	P	0.000244	10500.296	N
262122_at	8.2	A	0.601074	22.17	N
262121_at	78.1	A	0.366211	81.931	N
262105_at	75.5	A	0.246094	48.196	N
262115_at	61.3	A	0.398926	62.519	N
262116_at	435.9	P	0.00415	493.767	N
262113_at	241.7	P	0.010742	507.4	N
262132_at	37.2	A	0.246094	51.576	N
262110_at	1289.5	P	0.000244	1021.075	N
262118_at	290.6	P	0.001221	211.356	N
262114_at	252.7	P	0.030273	337.436	N
262112_at	675.2	P	0.001953	725.137	N
262130_at	365.9	P	0.000732	469.286	N
262131_at	80.8	A	0.246094	78.244	N
262104_at	867.9	P	0.00293	834.652	N
262119_s_at	12911.3	P	0.000244	2693.796	Y
262103_at	61.1	P	0.046143	22.648	N
262120_at	76.5	P	0.001221	104.972	N
262111_at	409.6	P	0.001953	344.226	N
262106_at	131.0	P	0.000244	155.394	N
262102_at	14.5	A	0.7539060000000001	41.412	N
263170_at	567.5	P	0.001221	683.14	N
263169_at	6.5	A	0.850342	62.529	N
263168_at	58.1	P	0.037598	97.392	N
263167_at	285.3	P	0.000732	218.937	N
263117_at	506.8	P	0.000732	438.616	N
263166_at	2.8	A	0.953857	6.091	N
263115_at	157.4	A	0.19458	146.031	N
263165_at	405.8	P	0.00293	375.506	N
263164_at	264.0	P	0.00293	300.412	N
263112_at	126.1	P	0.00293	148.767	N
263118_at	307.2	P	0.001221	408.149	N
263143_at	58.1	P	0.008057	85.558	N
263119_at	272.3	P	0.0058590000000000005	323.977	N
263114_at	10250.5	P	0.000244	13443.101	N
263116_s_at	1152.2	P	0.000244	1143.822	N
263113_at	345.1	P	0.000244	406.031	N
263163_at	606.4	P	0.000244	670.629	N
264363_at	22.8	A	0.567627	20.186	N
264358_at	99.0	A	0.14965799999999999	87.427	N
264356_at	134.0	P	0.000732	147.472	N
264355_at	1230.9	P	0.001221	709.659	N
264365_s_at	1620.5	P	0.000244	1462.936	N
264354_s_at	102.1	P	0.010742	89.363	N
264366_at	352.1	P	0.000244	416.703	N
264353_at	104.8	A	0.06762699999999999	152.336	N
264352_at	74.5	P	0.023926	87.547	N
264368_at	415.1	P	0.001953	379.842	N
264362_at	546.7	P	0.000244	265.952	Y
264361_at	105.4	P	0.010742	101.937	N
264360_at	1115.0	P	0.000244	1407.773	N
264359_at	54.2	A	0.633789	49.209	N
264364_at	1106.2	P	0.000244	1170.195	N
264367_at	508.1	P	0.000244	450.986	N
264357_at	253.1	P	0.0058590000000000005	252.3	N
264351_at	460.8	P	0.000244	393.085	N
264828_at	582.7	P	0.001221	674.523	N
264827_at	43.0	A	0.43237299999999995	21.405	N
264843_at	1272.8	P	0.000244	980.798	N
264826_at	67.9	A	0.14965799999999999	113.19	N
264824_at	582.5	P	0.000244	924.563	N
264838_at	587.6	P	0.000244	524.976	N
264840_at	280.2	P	0.001953	378.77	N
264823_at	110.8	A	0.696289	96.221	N
264822_at	86.9	A	0.06762699999999999	85.533	N
264821_at	102.1	A	0.334473	65.071	N
264820_at	2168.4	P	0.000244	2068.646	N
264829_at	2.9	A	0.80542	23.593	N
265091_s_at	63.5	A	0.43237299999999995	54.617	N
