ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
245016_at	4367.7	P	0.000244	3460.311	N
261585_at	64.6	A	0.366211	57.078	N
261568_at	44.6	A	0.46606400000000003	24.202	N
261584_at	221.5	A	0.14965799999999999	254.547	N
261579_at	2168.8	P	0.000732	2054.547	N
261569_at	191.0	A	0.095215	187.126	N
261576_at	167.1	P	0.008057	191.893	N
261577_at	2701.9	P	0.000244	2239.862	N
261583_at	5932.6	P	0.000244	5112.113	N
261578_at	8031.8	P	0.000244	7180.22	N
261580_at	11.2	A	0.533936	20.459	N
261570_at	589.4	P	0.00293	604.876	N
261575_at	3.7	A	0.601074	43.443	N
261581_at	988.0	P	0.000732	1214.567	N
261571_at	60.0	P	0.018555000000000002	37.456	N
261582_at	508.3	P	0.00293	451.689	N
261572_at	3186.7	P	0.000244	3697.477	N
261573_at	55.6	A	0.43237299999999995	64.023	N
261574_at	106.7	A	0.303711	129.387	N
261042_at	15.1	A	0.696289	63.725	N
261043_at	900.3	P	0.001953	776.886	N
261025_at	147.1	A	0.06762699999999999	199.75	N
261057_at	823.8	P	0.000244	1146.747	N
261026_at	849.7	P	0.00415	1113.802	N
261059_at	76.2	A	0.219482	123.096	N
261050_at	309.0	P	0.0058590000000000005	246.221	N
261051_at	32.4	A	0.633789	7.273	N
261044_at	273.4	P	0.001221	170.215	N
261055_at	884.7	P	0.000732	1155.873	N
261045_at	3.5	A	0.9858399999999999	4.904	N
261053_at	3572.9	P	0.000244	2963.241	N
261054_at	481.3	P	0.00415	412.988	N
261027_at	128.6	A	0.080566	63.886	Y
261056_at	436.7	P	0.000244	352.498	N
261058_at	130.0	A	0.17138699999999998	111.31	N
257490_x_at	56.5	A	0.219482	42.262	N
261046_at	59.9	A	0.080566	82.715	N
261047_at	5.2	A	0.72583	39.028	N
261048_at	133.3	P	0.0058590000000000005	117.534	N
261049_at	1091.6	P	0.001221	1129.803	N
261052_at	151.9	P	0.018555000000000002	153.308	N
259435_at	73.8	A	0.366211	61.461	N
259425_at	6.7	A	0.953857	5.698	N
259426_at	2685.9	P	0.000244	6169.062	N
259439_at	4.8	A	0.6655270000000001	9.392	N
259434_at	1686.8	P	0.001221	2146.403	N
259436_at	389.4	P	0.000244	640.039	N
259438_at	685.5	P	0.000732	527.685	N
259432_at	51.1	A	0.219482	33.972	N
259427_at	65.2	A	0.111572	30.736	N
259437_at	669.2	P	0.000244	929.127	N
259440_at	2776.4	P	0.000244	3566.327	N
259428_at	466.4	P	0.0058590000000000005	224.558	Y
259433_at	119.3	P	0.046143	78.812	N
259429_at	161.8	P	0.030273	135.118	N
259430_at	784.6	P	0.000244	583.65	N
259431_at	6073.8	P	0.000244	6239.296	N
261563_at	1328.6	P	0.00415	1331.557	N
261586_at	67.6	A	0.366211	78.365	N
257484_at	872.3	P	0.00415	935.363	N
261587_at	100.4	A	0.219482	79.82	N
261588_at	69.1	A	0.06762699999999999	101.73	N
261589_at	140.4	A	0.095215	82.727	N
261590_at	32.7	A	0.567627	29.777	N
261560_at	453.5	P	0.000244	490.67	N
261564_at	193.2	P	0.018555000000000002	170.146	N
261535_at	191.2	P	0.008057	249.647	N
261561_at	572.9	P	0.000732	427.611	N
261591_at	255.6	P	0.00293	284.016	N
261562_at	30.5	A	0.533936	13.213	N
261592_at	8.1	A	0.9047850000000001	10.151	N
261558_at	398.3	P	0.001221	324.518	N
261559_at	128.6	P	0.018555000000000002	194.809	N
261536_at	2308.7	P	0.000244	2393.347	N
261537_at	1491.6	P	0.000732	1267.429	N
261534_at	1358.8	P	0.000244	1084.207	N
261538_at	133.5	P	0.000732	152.292	N
261539_at	134.3	A	0.129639	95.715	N
261652_at	284.2	P	0.014159999999999999	489.276	N
261653_at	82.7	P	0.008057	210.444	N
261627_at	1244.1	P	0.000244	1128.905	N
261654_at	113.4	P	0.023926	121.761	N
261625_at	198.1	P	0.00293	262.904	N
261655_at	416.0	P	0.001221	408.646	N
261656_at	150.3	P	0.000732	218.292	N
261621_at	1103.2	P	0.000244	997.314	N
261622_at	612.2	P	0.000244	925.918	N
261623_at	4.5	A	0.9047850000000001	7.599	N
261626_at	301.6	P	0.030273	310.275	N
261624_at	239.0	P	0.014159999999999999	195.071	N
264169_at	362.6	A	0.06762699999999999	267.308	N
264175_at	18.3	A	0.567627	44.072	N
264167_at	78.0	M	0.056152	57.291	N
264151_at	58.4	A	0.303711	50.512	N
264168_at	1119.2	P	0.000244	1243.903	N
264150_at	485.7	P	0.010742	347.626	N
264171_at	521.4	P	0.001953	361.188	N
264176_at	151.6	P	0.014159999999999999	200.526	N
264172_at	960.1	P	0.000732	866.894	N
264122_at	617.5	P	0.000244	703.129	N
264152_at	2379.7	P	0.000244	2815.933	N
264177_at	3803.1	P	0.000244	3334.934	N
264173_at	1331.2	P	0.000244	1054.897	N
264178_at	882.0	P	0.000244	707.881	N
264179_at	417.2	P	0.001953	341.43	N
264180_at	5.3	A	0.533936	32.292	N
264147_at	567.8	P	0.046143	407.733	N
264146_at	1128.7	P	0.001221	739.85	N
264148_at	82.9	P	0.0058590000000000005	41.297	Y
264174_s_at	69.9	A	0.14965799999999999	53.636	N
264149_at	51.9	A	0.219482	58.186	N
264170_at	144.8	P	0.000732	438.699	N
264123_at	592.4	P	0.000244	1055.516	N
264121_at	2250.0	P	0.000244	2388.583	N
259441_at	553.7	P	0.000244	549.612	N
259416_at	2106.5	P	0.000244	1903.817	N
259442_at	70.8	P	0.014159999999999999	77.596	N
259413_at	3.4	A	0.9858399999999999	17.723	N
259415_at	424.1	P	0.000244	478.846	N
259417_at	47.0	A	0.303711	42.217	N
259443_at	82.8	A	0.219482	19.741	N
259444_at	145.8	A	0.06762699999999999	152.687	N
259418_at	125.9	P	0.00415	122.94	N
259445_at	64.5	M	0.056152	102.135	N
