ID_REF	VALUE	ABS_CALL	Detection p-value	Normalized Value of Control	Shown on the paper
245016_at	3375.2	P	0.000244	3324.066	N
261585_at	69.1	A	0.46606400000000003	54.831	N
261568_at	14.4	A	0.533936	23.249	N
261584_at	209.9	A	0.111572	244.524	N
261579_at	2360.5	P	0.000244	1973.652	N
261569_at	151.4	P	0.00415	179.759	N
261576_at	213.6	P	0.023926	184.337	N
261577_at	1956.3	P	0.000244	2151.671	N
261583_at	5486.0	P	0.000244	4910.831	N
261578_at	7541.6	P	0.000244	6897.509	N
261580_at	7.2	A	0.8286129999999999	19.653	N
261570_at	440.3	P	0.001953	581.06	N
261575_at	54.9	A	0.46606400000000003	41.733	N
261581_at	1258.4	P	0.000732	1166.745	N
261571_at	24.9	A	0.219482	35.981	N
261582_at	403.1	P	0.00293	433.904	N
261572_at	4372.9	P	0.000244	3551.894	N
261573_at	99.4	A	0.111572	61.503	N
261574_at	197.2	A	0.19458	124.292	N
261042_at	67.0	A	0.533936	61.216	N
261043_at	810.2	P	0.000732	746.297	N
261025_at	157.3	P	0.046143	191.885	N
261057_at	1122.6	P	0.000244	1101.596	N
261026_at	999.5	P	0.008057	1069.948	N
261059_at	138.9	A	0.06762699999999999	118.25	N
261050_at	238.7	P	0.008057	236.526	N
261051_at	7.6	A	0.6655270000000001	6.987	N
261044_at	179.2	P	0.001953	163.513	N
261055_at	1208.7	P	0.000732	1110.363	N
261045_at	2.7	A	0.9858399999999999	4.711	N
261053_at	2979.2	P	0.000244	2846.568	N
261054_at	371.9	P	0.001953	396.727	N
261027_at	89.0	A	0.246094	61.37	Y
261056_at	385.9	P	0.000244	338.619	N
261058_at	103.4	A	0.27416999999999997	106.928	N
257490_x_at	31.3	A	0.14965799999999999	40.598	N
261046_at	104.3	A	0.06762699999999999	79.458	N
261047_at	42.4	A	0.080566	37.492	N
261048_at	81.3	A	0.111572	112.906	N
261049_at	1063.4	P	0.001221	1085.319	N
261052_at	101.4	P	0.023926	147.271	N
259435_at	71.2	A	0.17138699999999998	59.041	N
259425_at	7.2	A	0.9047850000000001	5.474	N
259426_at	5362.3	P	0.000244	5926.164	N
259439_at	4.5	A	0.72583	9.022	N
259434_at	1877.2	P	0.001221	2061.892	N
259436_at	664.0	P	0.000244	614.838	N
259438_at	485.3	P	0.001221	506.908	N
259432_at	56.8	A	0.129639	32.634	N
259427_at	42.6	P	0.037598	29.525	N
259437_at	954.1	P	0.000732	892.543	N
259440_at	3620.6	P	0.000244	3425.908	N
259428_at	250.4	P	0.0058590000000000005	215.717	Y
259433_at	74.8	A	0.19458	75.709	N
259429_at	143.5	A	0.111572	129.798	N
259430_at	510.4	P	0.000244	560.669	N
259431_at	5442.3	P	0.000244	5993.633	N
261563_at	1357.5	P	0.00293	1279.129	N
261586_at	74.6	A	0.366211	75.28	N
257484_at	908.0	P	0.001221	898.535	N
261587_at	119.5	A	0.334473	76.677	N
261588_at	96.5	A	0.111572	97.724	N
261589_at	108.0	A	0.219482	79.47	N
261590_at	11.2	A	0.9047850000000001	28.604	N
261560_at	380.8	P	0.000244	471.351	N
261564_at	164.3	P	0.008057	163.447	N
261535_at	223.4	P	0.00293	239.818	N
261561_at	363.1	P	0.000244	410.775	N
261591_at	237.3	P	0.001221	272.833	N
261562_at	5.6	A	0.8884280000000001	12.693	N
261592_at	9.8	A	0.9047850000000001	9.752	N
261558_at	234.9	P	0.001953	311.74	N
261559_at	187.2	P	0.023926	187.139	N
261536_at	2356.1	P	0.000244	2299.112	N
261537_at	1225.9	P	0.000732	1217.526	N
261534_at	989.7	P	0.000244	1041.518	N
261538_at	170.6	P	0.0058590000000000005	146.295	N
261539_at	62.5	A	0.111572	91.946	N
261652_at	407.7	P	0.00293	470.011	N
261653_at	170.3	P	0.008057	202.158	N
261627_at	1119.9	P	0.000244	1084.456	N
261654_at	124.0	P	0.046143	116.967	N
261625_at	215.1	P	0.008057	252.552	N
261655_at	476.8	P	0.0058590000000000005	392.556	N
261656_at	190.2	P	0.00415	209.697	N
261621_at	1029.8	P	0.000244	958.046	N
261622_at	871.1	P	0.000244	889.462	N
261623_at	7.3	A	0.953857	7.3	N
261626_at	269.1	P	0.018555000000000002	298.059	N
261624_at	201.6	P	0.023926	187.39	N
264169_at	280.0	P	0.030273	256.783	N
264175_at	33.7	A	0.27416999999999997	42.337	N
264167_at	48.0	A	0.246094	55.036	N
264151_at	62.8	A	0.129639	48.523	N
264168_at	1188.8	P	0.000244	1194.926	N
264150_at	261.0	P	0.037598	333.938	N
264171_at	355.0	P	0.001953	346.967	N
264176_at	166.4	P	0.00293	192.63	N
264172_at	871.4	P	0.000732	832.762	N
264122_at	713.0	P	0.000244	675.444	N
264152_at	2786.4	P	0.000244	2705.06	N
264177_at	3228.5	P	0.000244	3203.626	N
264173_at	1094.4	P	0.000244	1013.362	N
264178_at	749.5	P	0.000244	680.009	N
264179_at	313.9	P	0.00415	327.987	N
264180_at	2.7	A	0.5	31.021	N
264147_at	344.6	M	0.056152	391.679	N
264146_at	675.2	P	0.000732	710.719	N
264148_at	49.5	P	0.046143	39.671	Y
264174_s_at	44.1	A	0.129639	51.524	N
264149_at	67.6	A	0.095215	55.895	N
264170_at	375.3	P	0.000244	421.426	N
264123_at	1190.9	P	0.000244	1013.957	N
264121_at	2465.4	P	0.000244	2294.536	N
259441_at	572.6	P	0.000244	527.972	N
259416_at	1790.5	P	0.000244	1828.857	N
259442_at	93.2	P	0.046143	74.541	N
259413_at	32.9	A	0.567627	17.026	N
259415_at	575.9	P	0.000244	459.992	N
259417_at	37.3	A	0.366211	40.555	N
259443_at	47.0	A	0.567627	18.963	N
259444_at	122.7	A	0.246094	146.675	N
259418_at	157.6	P	0.010742	118.1	N
259445_at	72.4	A	0.080566	98.114	N
259446_at	657.8	P	0.000244	712.472	N
259414_at	57.4	A	0.14965799999999999	70.292	N
259447_s_at	38.2	A	0.43237299999999995	42.431	N
260904_at	52.5	P	0.010742	75.479	Y
260903_at	87.7	P	0.046143	89.361	N
260933_at	62.0	A	0.696289	77.35	N
260916_at	1740.6	P	0.000244	2007.773	N
260911_at	15.9	A	0.633789	8.31	N
260913_at	4151.2	P	0.000244	4753.234	N
260932_s_at	4.9	A	0.46606400000000003	30.438	N
260906_at	3.0	A	0.9438479999999999	9.7	N
